Date,buy Disney,Price
2011-09-30,35,30.16
2011-10-07,42,31.70
2011-10-14,36,34.47
2011-10-21,34,35.16
2011-10-28,37,36.21
2011-11-04,38,34.76
2011-11-11,39,36.70
2011-11-18,42,35.63
2011-11-25,53,33.51
2011-12-02,51,36.61
2011-12-09,51,36.56
2011-12-16,49,35.32
2011-12-23,55,37.70
2011-12-30,45,37.50
2012-01-06,35,39.91
2012-01-13,35,38.40
2012-01-20,37,39.31
2012-01-27,38,39.25
2012-02-03,35,40.00
2012-02-10,42,41.45
2012-02-17,36,41.75
2012-02-24,40,41.31
2012-03-02,39,42.36
2012-03-09,40,42.24
2012-03-16,38,43.19
2012-03-23,38,43.65
2012-03-30,31,43.78
2012-04-06,33,
2012-04-13,28,41.85
2012-04-20,32,42.35
2012-04-27,32,43.35
2012-05-04,37,42.93
2012-05-11,30,45.56
2012-05-18,35,43.81
2012-05-25,33,44.50
2012-06-01,29,44.40
2012-06-08,34,46.24
2012-06-15,33,47.09
2012-06-22,34,47.47
2012-06-29,33,48.50
2012-07-06,35,48.04
2012-07-13,35,48.19
2012-07-20,36,48.59
2012-07-27,36,49.94
2012-08-03,35,49.77
2012-08-10,41,49.65
2012-08-17,39,50.46
2012-08-24,37,49.56
2012-08-31,30,49.47
2012-09-07,31,51.74
2012-09-14,33,52.35
2012-09-21,36,52.74
2012-09-28,37,52.28
2012-10-05,38,52.97
2012-10-12,41,50.59
2012-10-19,35,51.90
2012-10-26,37,50.08
2012-11-02,100,49.86
2012-11-09,53,47.06
2012-11-16,48,47.42
2012-11-23,61,49.26
2012-11-30,49,49.66
2012-12-07,53,49.24
2012-12-14,49,48.67
2012-12-21,50,50.00
2012-12-28,48,49.15
2013-01-04,45,52.19
2013-01-11,38,50.58
2013-01-18,35,52.34
2013-01-25,38,54.38
2013-02-01,34,54.59
2013-02-08,36,54.66
2013-02-15,34,55.61
2013-02-22,37,54.25
2013-03-01,33,55.33
2013-03-08,41,57.39
2013-03-15,40,57.58
2013-03-22,40,56.78
2013-03-29,37,
2013-04-05,35,57.70
2013-04-12,34,60.55
2013-04-19,31,61.56
2013-04-26,35,61.87
2013-05-03,33,64.80
2013-05-10,30,67.20
2013-05-17,33,66.58
2013-05-24,33,65.49
2013-05-31,31,63.08
2013-06-07,33,64.85
2013-06-14,30,63.80
2013-06-21,34,62.73
2013-06-28,33,63.15
2013-07-05,35,63.82
2013-07-12,33,66.98
2013-07-19,37,65.16
2013-07-26,35,64.98
2013-08-02,35,66.51
2013-08-09,39,64.73
2013-08-16,39,62.17
2013-08-23,46,61.73
2013-08-30,38,60.83
2013-09-06,36,61.39
2013-09-13,39,66.69
2013-09-20,38,65.01
2013-09-27,43,65.19
2013-10-04,46,65.30
2013-10-11,50,66.21
2013-10-18,43,67.15
2013-10-25,41,69.26
2013-11-01,41,69.01
2013-11-08,44,68.58
2013-11-15,49,70.00
2013-11-22,53,70.20
2013-11-29,72,70.54
2013-12-06,63,71.46
2013-12-13,66,69.62
2013-12-20,65,72.40
2013-12-27,66,74.35
2014-01-03,57,76.11
2014-01-10,47,75.39
2014-01-17,45,73.98
2014-01-24,43,72.72
2014-01-31,42,72.61
2014-02-07,40,75.67
2014-02-14,42,79.23
2014-02-21,44,80.13
2014-02-28,47,80.81
2014-03-07,49,82.21
2014-03-14,56,80.07
2014-03-21,54,80.35
2014-03-28,55,78.99
2014-04-04,52,80.43
2014-04-11,46,77.01
2014-04-18,46,
2014-04-25,42,78.23
2014-05-02,43,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
