Date,buy Microsoft,Price
2005-09-09,46,26.58
2005-09-16,39,26.07
2005-09-23,48,25.27
2005-09-30,49,25.73
2005-10-07,45,24.59
2005-10-14,41,24.67
2005-10-21,52,24.78
2005-10-28,35,25.53
2005-11-04,43,26.66
2005-11-11,51,27.28
2005-11-18,51,28.07
2005-11-25,57,27.76
2005-12-02,50,28.01
2005-12-09,44,27.71
2005-12-16,44,26.90
2005-12-23,38,26.64
2005-12-30,51,26.15
2006-01-06,54,26.91
2006-01-13,48,27.19
2006-01-20,42,26.41
2006-01-27,40,27.79
2006-02-03,53,27.54
2006-02-10,42,26.69
2006-02-17,35,26.70
2006-02-24,41,26.63
2006-03-03,41,26.93
2006-03-10,44,27.17
2006-03-17,44,27.50
2006-03-24,41,27.01
2006-03-31,42,27.21
2006-04-07,38,27.25
2006-04-14,34,
2006-04-21,40,27.15
2006-04-28,38,24.15
2006-05-05,41,23.80
2006-05-12,43,23.17
2006-05-19,40,22.56
2006-05-26,37,23.72
2006-06-02,37,22.76
2006-06-09,31,21.92
2006-06-16,40,22.10
2006-06-23,45,22.50
2006-06-30,41,23.30
2006-07-07,46,23.30
2006-07-14,36,22.29
2006-07-21,44,23.87
2006-07-28,36,24.25
2006-08-04,52,24.29
2006-08-11,48,24.43
2006-08-18,42,25.79
2006-08-25,46,25.85
2006-09-01,48,25.84
2006-09-08,47,25.60
2006-09-15,46,26.85
2006-09-22,47,26.66
2006-09-29,48,27.35
2006-10-06,42,27.87
2006-10-13,46,28.37
2006-10-20,37,28.43
2006-10-27,42,28.34
2006-11-03,45,28.73
2006-11-10,51,29.24
2006-11-17,60,29.40
2006-11-24,50,29.76
2006-12-01,58,29.12
2006-12-08,51,29.40
2006-12-15,59,30.19
2006-12-22,49,29.64
2006-12-29,56,29.86
2007-01-05,56,29.64
2007-01-12,56,31.21
2007-01-19,58,31.11
2007-01-26,59,30.60
2007-02-02,77,30.19
2007-02-09,59,28.98
2007-02-16,43,28.74
2007-02-23,50,28.90
2007-03-02,49,27.76
2007-03-09,50,27.29
2007-03-16,44,27.33
2007-03-23,46,28.02
2007-03-30,49,27.87
2007-04-06,42,
2007-04-13,36,28.61
2007-04-20,38,29.02
2007-04-27,46,30.12
2007-05-04,55,30.56
2007-05-11,47,30.89
2007-05-18,41,30.83
2007-05-25,42,30.48
2007-06-01,46,30.59
2007-06-08,43,30.05
2007-06-15,39,30.49
2007-06-22,46,29.49
2007-06-29,42,29.47
2007-07-06,37,29.97
2007-07-13,52,29.82
2007-07-20,49,31.16
2007-07-27,45,29.39
2007-08-03,48,28.96
2007-08-10,42,28.71
2007-08-17,40,28.25
2007-08-24,47,28.81
2007-08-31,51,28.73
2007-09-07,49,28.44
2007-09-14,46,29.04
2007-09-21,45,28.65
2007-09-28,48,29.46
2007-10-05,50,29.84
2007-10-12,48,30.17
2007-10-19,47,30.17
2007-10-26,47,35.03
2007-11-02,40,37.06
2007-11-09,42,33.73
2007-11-16,49,34.09
2007-11-23,55,34.11
2007-11-30,54,33.60
2007-12-07,62,34.53
2007-12-14,54,35.31
2007-12-21,44,36.06
2007-12-28,57,36.12
2008-01-04,52,34.38
2008-01-11,54,33.91
2008-01-18,50,33.01
2008-01-25,49,32.94
2008-02-01,70,30.45
2008-02-08,63,28.56
2008-02-15,55,28.42
2008-02-22,47,27.68
2008-02-29,49,27.20
2008-03-07,45,27.87
2008-03-14,43,27.96
2008-03-21,44,
2008-03-28,42,27.91
2008-04-04,47,29.16
2008-04-11,50,28.28
2008-04-18,45,30.00
2008-04-25,45,29.83
2008-05-02,43,29.24
2008-05-09,43,29.39
2008-05-16,44,29.99
2008-05-23,43,28.05
2008-05-30,42,28.32
2008-06-06,44,27.49
2008-06-13,37,29.07
2008-06-20,40,28.23
2008-06-27,41,27.63
2008-07-04,38,
2008-07-11,38,25.25
2008-07-18,43,25.86
2008-07-25,43,26.16
2008-08-01,40,25.44
2008-08-08,43,28.13
2008-08-15,43,27.81
2008-08-22,40,27.84
2008-08-29,45,27.29
2008-09-05,48,25.65
2008-09-12,49,27.62
2008-09-19,40,25.16
2008-09-26,45,27.40
2008-10-03,48,26.32
2008-10-10,44,21.50
2008-10-17,41,23.93
2008-10-24,46,21.96
2008-10-31,40,22.33
2008-11-07,41,21.50
2008-11-14,39,20.06
2008-11-21,44,19.68
2008-11-28,47,20.22
2008-12-05,47,19.87
2008-12-12,46,19.36
2008-12-19,39,19.12
2008-12-26,42,19.13
2009-01-02,54,20.33
2009-01-09,43,19.52
2009-01-16,47,19.71
2009-01-23,44,17.20
2009-01-30,47,17.10
2009-02-06,42,19.66
2009-02-13,43,19.09
2009-02-20,42,18.00
2009-02-27,45,16.15
2009-03-06,48,15.28
2009-03-13,45,16.65
2009-03-20,48,17.06
2009-03-27,40,18.13
2009-04-03,47,18.75
2009-04-10,46,
2009-04-17,38,19.20
2009-04-24,40,20.91
2009-05-01,39,20.24
2009-05-08,42,19.42
2009-05-15,36,20.22
2009-05-22,36,19.75
2009-05-29,35,20.89
2009-06-05,43,22.14
2009-06-12,40,23.33
2009-06-19,38,24.07
2009-06-26,37,23.35
2009-07-03,40,
2009-07-10,41,22.39
2009-07-17,42,24.29
2009-07-24,42,23.45
2009-07-31,44,23.52
2009-08-07,42,23.56
2009-08-14,45,23.69
2009-08-21,46,24.41
2009-08-28,52,24.68
2009-09-04,44,24.62
2009-09-11,45,24.86
2009-09-18,43,25.26
2009-09-25,47,25.55
2009-10-02,45,24.96
2009-10-09,46,25.55
2009-10-16,41,26.50
2009-10-23,53,28.02
2009-10-30,53,27.73
2009-11-06,42,28.52
2009-11-13,43,29.63
2009-11-20,48,29.62
2009-11-27,53,29.22
2009-12-04,46,29.98
2009-12-11,42,29.85
2009-12-18,43,30.36
2009-12-25,42,
2010-01-01,54,
2010-01-08,47,30.66
2010-01-15,51,30.86
2010-01-22,46,28.96
2010-01-29,43,28.18
2010-02-05,44,28.02
2010-02-12,42,27.93
2010-02-19,44,28.77
2010-02-26,45,28.67
2010-03-05,48,28.59
2010-03-12,40,29.27
2010-03-19,38,29.59
2010-03-26,37,29.66
2010-04-02,62,
2010-04-09,40,30.34
2010-04-16,38,30.67
2010-04-23,39,30.96
2010-04-30,39,30.54
2010-05-07,38,28.21
2010-05-14,37,28.93
2010-05-21,37,26.84
2010-05-28,34,25.80
2010-06-04,39,25.79
2010-06-11,38,25.66
2010-06-18,46,26.44
2010-06-25,42,24.53
2010-07-02,38,23.27
2010-07-09,38,24.27
2010-07-16,43,24.89
2010-07-23,42,25.81
2010-07-30,36,25.81
2010-08-06,45,25.55
2010-08-13,41,24.40
2010-08-20,45,24.23
2010-08-27,44,23.93
2010-09-03,44,24.29
2010-09-10,47,23.85
2010-09-17,46,25.22
2010-09-24,41,24.78
2010-10-01,44,24.38
2010-10-08,42,24.57
2010-10-15,42,25.54
2010-10-22,43,25.38
2010-10-29,40,26.67
2010-11-05,44,26.85
2010-11-12,46,26.27
2010-11-19,42,25.69
2010-11-26,48,25.25
2010-12-03,50,27.02
2010-12-10,44,27.34
2010-12-17,46,27.90
2010-12-24,43,
2010-12-31,50,27.91
2011-01-07,47,28.60
2011-01-14,42,28.30
2011-01-21,42,28.02
2011-01-28,39,27.75
2011-02-04,53,27.77
2011-02-11,42,27.25
2011-02-18,37,27.06
2011-02-25,39,26.55
2011-03-04,36,25.95
2011-03-11,35,25.68
2011-03-18,30,24.80
2011-03-25,36,25.62
2011-04-01,38,25.48
2011-04-08,34,26.07
2011-04-15,34,25.37
2011-04-22,31,
2011-04-29,31,25.92
2011-05-06,37,25.87
2011-05-13,56,25.03
2011-05-20,35,24.49
2011-05-27,35,24.76
2011-06-03,39,23.91
2011-06-10,36,23.71
2011-06-17,32,24.26
2011-06-24,37,24.30
2011-07-01,38,26.02
2011-07-08,34,26.92
2011-07-15,33,26.78
2011-07-22,36,27.53
2011-07-29,32,27.40
2011-08-05,38,25.68
2011-08-12,35,25.10
2011-08-19,40,24.05
2011-08-26,39,25.25
2011-09-02,41,25.80
2011-09-09,38,25.74
2011-09-16,35,27.12
2011-09-23,36,25.06
2011-09-30,34,24.89
2011-10-07,33,26.25
2011-10-14,30,27.27
2011-10-21,34,27.16
2011-10-28,32,26.98
2011-11-04,33,26.25
2011-11-11,32,26.91
2011-11-18,31,25.30
2011-11-25,35,24.30
2011-12-02,37,25.22
2011-12-09,31,25.70
2011-12-16,34,26.00
2011-12-23,35,26.03
2011-12-30,40,25.96
2012-01-06,35,28.11
2012-01-13,36,28.25
2012-01-20,31,29.71
2012-01-27,33,29.23
2012-02-03,28,30.24
2012-02-10,31,30.50
2012-02-17,34,31.25
2012-02-24,32,31.48
2012-03-02,30,32.08
2012-03-09,29,31.99
2012-03-16,29,32.60
2012-03-23,29,32.01
2012-03-30,29,32.26
2012-04-06,30,
2012-04-13,29,30.81
2012-04-20,27,32.42
2012-04-27,28,31.98
2012-05-04,28,30.98
2012-05-11,30,31.16
2012-05-18,32,29.27
2012-05-25,31,29.06
2012-06-01,28,28.45
2012-06-08,30,29.65
2012-06-15,32,30.02
2012-06-22,42,30.70
2012-06-29,39,30.59
2012-07-06,34,30.19
2012-07-13,35,29.39
2012-07-20,35,30.12
2012-07-27,36,29.76
2012-08-03,36,29.75
2012-08-10,33,30.42
2012-08-17,36,30.90
2012-08-24,40,30.56
2012-08-31,37,30.82
2012-09-07,38,30.95
2012-09-14,38,31.21
2012-09-21,34,31.19
2012-09-28,37,29.76
2012-10-05,36,29.85
2012-10-12,35,29.20
2012-10-19,39,28.64
2012-10-26,68,28.21
2012-11-02,72,29.50
2012-11-09,65,28.83
2012-11-16,59,26.52
2012-11-23,77,27.70
2012-11-30,63,26.62
2012-12-07,56,26.46
2012-12-14,52,26.81
2012-12-21,52,27.45
2012-12-28,63,26.55
2013-01-04,55,26.74
2013-01-11,49,26.83
2013-01-18,46,27.25
2013-01-25,46,27.88
2013-02-01,55,27.93
2013-02-08,54,27.55
2013-02-15,53,28.01
2013-02-22,50,27.76
2013-03-01,47,27.95
2013-03-08,45,28.00
2013-03-15,42,28.04
2013-03-22,40,28.25
2013-03-29,40,
2013-04-05,40,28.70
2013-04-12,40,28.79
2013-04-19,36,29.77
2013-04-26,36,31.79
2013-05-03,33,33.49
2013-05-10,33,32.69
2013-05-17,34,34.87
2013-05-24,38,34.27
2013-05-31,34,34.90
2013-06-07,35,35.67
2013-06-14,43,34.40
2013-06-21,38,33.27
2013-06-28,33,34.54
2013-07-05,36,34.21
2013-07-12,34,35.67
2013-07-19,40,31.40
2013-07-26,39,31.62
2013-08-02,38,31.89
2013-08-09,38,32.70
2013-08-16,41,31.80
2013-08-23,43,34.75
2013-08-30,47,33.40
2013-09-06,66,31.15
2013-09-13,50,33.03
2013-09-20,46,32.79
2013-09-27,47,33.27
2013-10-04,43,33.88
2013-10-11,42,34.13
2013-10-18,41,34.96
2013-10-25,46,35.73
2013-11-01,42,35.53
2013-11-08,45,37.78
2013-11-15,51,37.84
2013-11-22,60,37.57
2013-11-29,100,38.13
2013-12-06,78,38.36
2013-12-13,61,36.69
2013-12-20,56,36.80
2013-12-27,62,37.29
2014-01-03,52,36.91
2014-01-10,48,36.04
2014-01-17,44,36.38
2014-01-24,44,36.81
2014-01-31,44,37.84
2014-02-07,42,36.56
2014-02-14,40,37.62
2014-02-21,44,37.98
2014-02-28,40,38.31
2014-03-07,39,37.90
2014-03-14,36,37.70
2014-03-21,36,40.16
2014-03-28,39,40.30
2014-04-04,38,39.87
2014-04-11,38,39.21
2014-04-18,38,
2014-04-25,35,39.91
2014-05-02,36,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
