Date,buy Home Depot,Price
2008-07-18,54,23.44
2008-07-25,55,23.80
2008-08-01,52,23.90
2008-08-08,55,26.37
2008-08-15,53,27.53
2008-08-22,46,27.11
2008-08-29,49,27.12
2008-09-05,51,28.59
2008-09-12,44,28.80
2008-09-19,47,27.37
2008-09-26,46,26.46
2008-10-03,44,23.81
2008-10-10,42,19.75
2008-10-17,43,20.21
2008-10-24,41,18.51
2008-10-31,41,23.59
2008-11-07,40,21.06
2008-11-14,55,20.54
2008-11-21,48,19.29
2008-11-28,73,23.11
2008-12-05,57,24.40
2008-12-12,59,23.47
2008-12-19,58,24.22
2008-12-26,74,23.56
2009-01-02,64,24.13
2009-01-09,51,23.86
2009-01-16,46,23.20
2009-01-23,46,21.72
2009-01-30,45,21.53
2009-02-06,40,23.53
2009-02-13,41,21.22
2009-02-20,46,19.46
2009-02-27,45,20.89
2009-03-06,41,18.00
2009-03-13,44,20.71
2009-03-20,47,22.16
2009-03-27,42,23.63
2009-04-03,47,25.00
2009-04-10,52,
2009-04-17,45,26.10
2009-04-24,47,26.31
2009-05-01,51,25.77
2009-05-08,54,25.50
2009-05-15,49,24.40
2009-05-22,54,22.86
2009-05-29,51,23.16
2009-06-05,49,24.17
2009-06-12,52,24.15
2009-06-19,59,23.52
2009-06-26,57,23.61
2009-07-03,56,
2009-07-10,51,22.52
2009-07-17,51,24.67
2009-07-24,55,25.32
2009-07-31,61,25.94
2009-08-07,54,27.26
2009-08-14,56,27.14
2009-08-21,55,27.50
2009-08-28,52,27.69
2009-09-04,51,27.03
2009-09-11,47,27.34
2009-09-18,47,28.23
2009-09-25,47,26.85
2009-10-02,45,26.03
2009-10-09,47,26.96
2009-10-16,46,27.26
2009-10-23,41,26.27
2009-10-30,45,25.09
2009-11-06,46,26.08
2009-11-13,45,27.34
2009-11-20,51,27.18
2009-11-27,82,27.61
2009-12-04,61,28.08
2009-12-11,59,28.49
2009-12-18,53,28.65
2009-12-25,62,
2010-01-01,62,
2010-01-08,51,28.98
2010-01-15,50,28.57
2010-01-22,46,27.72
2010-01-29,45,28.01
2010-02-05,40,27.98
2010-02-12,45,29.00
2010-02-19,46,30.15
2010-02-26,45,31.20
2010-03-05,44,31.80
2010-03-12,45,32.45
2010-03-19,50,32.36
2010-03-26,53,32.75
2010-04-02,56,
2010-04-09,57,33.25
2010-04-16,54,35.01
2010-04-23,57,36.39
2010-04-30,53,35.23
2010-05-07,60,33.43
2010-05-14,53,35.20
2010-05-21,53,33.02
2010-05-28,58,33.86
2010-06-04,58,32.15
2010-06-11,54,32.22
2010-06-18,54,31.94
2010-06-25,54,30.20
2010-07-02,53,27.76
2010-07-09,64,28.26
2010-07-16,57,27.11
2010-07-23,55,28.25
2010-07-30,55,28.51
2010-08-06,51,28.68
2010-08-13,53,27.31
2010-08-20,53,28.17
2010-08-27,50,28.74
2010-09-03,50,29.85
2010-09-10,48,29.68
2010-09-17,46,29.89
2010-09-24,44,31.64
2010-10-01,44,31.82
2010-10-08,43,31.89
2010-10-15,42,30.70
2010-10-22,44,31.48
2010-10-29,43,30.90
2010-11-05,42,31.92
2010-11-12,53,31.44
2010-11-19,52,31.22
2010-11-26,93,31.00
2010-12-03,62,33.48
2010-12-10,55,34.40
2010-12-17,54,35.10
2010-12-24,56,
2010-12-31,66,35.06
2011-01-07,51,34.38
2011-01-14,51,35.89
2011-01-21,46,36.51
2011-01-28,44,36.70
2011-02-04,46,36.80
2011-02-11,42,37.48
2011-02-18,45,38.48
2011-02-25,44,37.08
2011-03-04,44,37.22
2011-03-11,50,37.14
2011-03-18,43,36.00
2011-03-25,48,37.42
2011-04-01,47,37.56
2011-04-08,50,37.46
2011-04-15,49,38.17
2011-04-22,48,
2011-04-29,53,37.15
2011-05-06,55,36.99
2011-05-13,56,37.01
2011-05-20,50,37.05
2011-05-27,59,36.00
2011-06-03,62,34.63
2011-06-10,59,33.47
2011-06-17,50,34.53
2011-06-24,52,35.08
2011-07-01,55,36.73
2011-07-08,56,36.62
2011-07-15,54,35.91
2011-07-22,64,36.52
2011-07-29,56,34.93
2011-08-05,58,30.74
2011-08-12,52,30.58
2011-08-19,51,31.88
2011-08-26,57,34.00
2011-09-02,55,32.18
2011-09-09,50,31.87
2011-09-16,48,34.61
2011-09-23,43,33.72
2011-09-30,40,32.87
2011-10-07,42,33.92
2011-10-14,40,35.05
2011-10-21,38,36.86
2011-10-28,42,36.12
2011-11-04,44,36.39
2011-11-11,50,38.06
2011-11-18,49,37.88
2011-11-25,89,36.47
2011-12-02,62,39.94
2011-12-09,51,40.23
2011-12-16,53,40.42
2011-12-23,52,42.09
2011-12-30,58,42.04
2012-01-06,47,43.20
2012-01-13,42,43.51
2012-01-20,48,44.51
2012-01-27,41,44.87
2012-02-03,46,45.17
2012-02-10,43,45.33
2012-02-17,42,46.71
2012-02-24,46,46.98
2012-03-02,40,47.41
2012-03-09,47,48.10
2012-03-16,46,49.05
2012-03-23,52,49.54
2012-03-30,50,50.31
2012-04-06,49,
2012-04-13,50,50.96
2012-04-20,48,51.46
2012-04-27,50,51.95
2012-05-04,53,51.96
2012-05-11,53,50.34
2012-05-18,53,47.05
2012-05-25,58,49.44
2012-06-01,62,47.96
2012-06-08,53,52.35
2012-06-15,51,51.87
2012-06-22,57,52.02
2012-06-29,56,52.99
2012-07-06,65,52.15
2012-07-13,54,52.09
2012-07-20,59,50.70
2012-07-27,54,53.71
2012-08-03,55,52.29
2012-08-10,53,53.06
2012-08-17,55,56.73
2012-08-24,51,56.96
2012-08-31,52,56.75
2012-09-07,53,57.26
2012-09-14,48,59.46
2012-09-21,49,59.42
2012-09-28,43,60.37
2012-10-05,45,63.20
2012-10-12,45,59.56
2012-10-19,45,61.89
2012-10-26,50,60.04
2012-11-02,48,62.02
2012-11-09,51,60.96
2012-11-16,57,62.12
2012-11-23,95,64.82
2012-11-30,67,65.07
2012-12-07,55,64.45
2012-12-14,52,62.06
2012-12-21,57,61.32
2012-12-28,61,60.65
2013-01-04,57,63.18
2013-01-11,43,63.70
2013-01-18,45,65.47
2013-01-25,46,67.82
2013-02-01,44,67.30
2013-02-08,45,67.01
2013-02-15,44,67.52
2013-02-22,50,65.58
2013-03-01,46,69.03
2013-03-08,47,71.37
2013-03-15,46,69.05
2013-03-22,48,69.56
2013-03-29,50,
2013-04-05,55,70.06
2013-04-12,57,73.62
2013-04-19,56,74.00
2013-04-26,56,73.35
2013-05-03,58,73.96
2013-05-10,60,76.01
2013-05-17,59,76.86
2013-05-24,67,78.99
2013-05-31,64,78.66
2013-06-07,59,78.74
2013-06-14,62,76.59
2013-06-21,59,73.82
2013-06-28,61,77.47
2013-07-05,69,78.29
2013-07-12,57,80.54
2013-07-19,66,79.89
2013-07-26,59,78.74
2013-08-02,56,80.23
2013-08-09,57,78.97
2013-08-16,55,75.38
2013-08-23,53,73.89
2013-08-30,56,74.49
2013-09-06,59,72.70
2013-09-13,50,75.11
2013-09-20,49,77.00
2013-09-27,46,75.96
2013-10-04,49,75.78
2013-10-11,47,76.32
2013-10-18,47,74.69
2013-10-25,50,76.25
2013-11-01,48,76.99
2013-11-08,50,75.48
2013-11-15,61,80.03
2013-11-22,62,79.18
2013-11-29,100,80.67
2013-12-06,67,79.84
2013-12-13,59,79.01
2013-12-20,57,80.04
2013-12-27,64,81.64
2014-01-03,62,81.89
2014-01-10,52,82.01
2014-01-17,49,81.00
2014-01-24,47,79.16
2014-01-31,49,76.85
2014-02-07,47,76.45
2014-02-14,49,77.93
2014-02-21,52,77.74
2014-02-28,49,82.03
2014-03-07,50,82.55
2014-03-14,49,79.38
2014-03-21,48,80.42
2014-03-28,50,78.72
2014-04-04,53,78.72
2014-04-11,52,75.70
2014-04-18,59,
2014-04-25,56,79.38
2014-05-02,55,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
