Date,JPMorgan Chase,Price
2010-08-06,50,40.44
2010-08-13,47,37.50
2010-08-20,49,37.14
2010-08-27,50,36.60
2010-09-03,48,39.17
2010-09-10,46,39.76
2010-09-17,55,40.06
2010-09-24,46,39.75
2010-10-01,51,38.81
2010-10-08,54,39.31
2010-10-15,55,37.15
2010-10-22,52,37.70
2010-10-29,41,37.63
2010-11-05,51,40.94
2010-11-12,52,39.61
2010-11-19,46,39.41
2010-11-26,37,37.50
2010-12-03,41,39.61
2010-12-10,45,41.43
2010-12-17,43,39.67
2010-12-24,38,
2010-12-31,42,42.42
2011-01-07,48,43.64
2011-01-14,51,44.91
2011-01-21,49,45.29
2011-01-28,42,44.54
2011-02-04,41,44.59
2011-02-11,44,46.57
2011-02-18,42,48.00
2011-02-25,35,46.68
2011-03-04,47,45.52
2011-03-11,44,45.74
2011-03-18,41,45.74
2011-03-25,40,45.86
2011-04-01,41,46.35
2011-04-08,45,46.84
2011-04-15,49,44.89
2011-04-22,46,
2011-04-29,47,45.63
2011-05-06,40,45.04
2011-05-13,38,43.15
2011-05-20,41,43.13
2011-05-27,45,42.79
2011-06-03,44,41.57
2011-06-10,50,41.05
2011-06-17,60,40.80
2011-06-24,48,39.49
2011-07-01,50,41.58
2011-07-08,46,40.74
2011-07-15,58,39.98
2011-07-22,49,42.19
2011-07-29,49,40.45
2011-08-05,53,37.60
2011-08-12,50,35.91
2011-08-19,52,34.35
2011-08-26,50,36.21
2011-09-02,49,34.63
2011-09-09,39,32.08
2011-09-16,47,33.43
2011-09-23,46,29.59
2011-09-30,42,30.12
2011-10-07,46,30.70
2011-10-14,42,31.89
2011-10-21,40,33.42
2011-10-28,40,36.69
2011-11-04,37,33.97
2011-11-11,38,33.28
2011-11-18,35,30.62
2011-11-25,33,28.48
2011-12-02,40,32.33
2011-12-09,30,33.18
2011-12-16,34,31.89
2011-12-23,26,33.57
2011-12-30,27,33.25
2012-01-06,34,35.36
2012-01-13,40,35.92
2012-01-20,39,37.36
2012-01-27,38,37.21
2012-02-03,37,38.28
2012-02-10,35,37.61
2012-02-17,35,38.47
2012-02-24,32,38.28
2012-03-02,30,40.63
2012-03-09,32,41.03
2012-03-16,40,44.57
2012-03-23,36,45.16
2012-03-30,38,45.98
2012-04-06,39,
2012-04-13,35,43.21
2012-04-20,42,42.72
2012-04-27,33,43.34
2012-05-04,37,41.75
2012-05-11,65,36.96
2012-05-18,90,33.49
