"Date","TSN","Price"
2011-12-09,33,20.53
2011-12-16,33,20.37
2011-12-23,36,20.91
2011-12-30,50,20.64
2012-01-06,58,20.32
2012-01-13,38,19.88
2012-01-20,36,19.2
2012-01-27,36,18.8
2012-02-03,32,19.38
2012-02-10,34,18.92
2012-02-17,39,18.99
2012-02-24,47,18.99
2012-03-02,61,19.43
2012-03-09,38,19.86
2012-03-16,36,19.86
2012-03-23,40,19.48
2012-03-30,35,19.15
2012-04-13,45,17.93
2012-04-20,45,18.05
2012-04-27,40,18.22
2012-05-04,35,18.04
2012-05-11,31,19.58
2012-05-18,31,19.12
2012-05-25,28,19.32
2012-06-01,28,18.68
2012-06-08,40,19.05
2012-06-15,51,18.76
2012-06-22,54,18.93
2012-06-29,47,18.83
2012-07-06,58,17.59
2012-07-13,33,16.15
2012-07-20,32,15.09
2012-07-27,37,15.07
2012-08-03,40,15.4
2012-08-10,41,16.04
2012-08-17,27,15.46
2012-08-24,26,15.15
2012-08-31,25,15.66
2012-09-07,27,15.7
2012-09-14,29,16.46
2012-09-21,27,16.44
2012-09-28,26,16.02
2012-10-05,25,16.37
2012-10-12,26,16.02
2012-10-19,30,16.44
2012-10-26,27,16.54
2012-11-02,26,17.13
2012-11-09,27,16.81
2012-11-16,29,16.88
2012-11-23,32,19.25
2012-11-30,31,19.17
2012-12-07,30,19.63
2012-12-14,27,19.65
2012-12-21,29,19.47
2012-12-28,42,19.18
2013-01-04,65,20.34
2013-01-11,47,20.32
2013-01-18,47,21.85
2013-01-25,52,22.44
2013-02-01,42,22.8
2013-02-08,39,23.78
2013-02-15,38,24.01
2013-02-22,42,23.8
2013-03-01,41,23.18
2013-03-08,44,24
2013-03-15,40,24.41
2013-03-22,45,24.13
2013-04-05,68,24.03
2013-04-12,43,23.88
2013-04-19,38,24.08
2013-04-26,37,24.72
2013-05-03,52,24.93
2013-05-10,47,24.75
2013-05-17,43,24.95
2013-05-24,34,24.87
2013-05-31,32,25
2013-06-07,34,25.05
2013-06-14,32,25.56
2013-06-21,34,25.19
2013-06-28,39,25.68
