"Date","STI","Price"
2011-08-19,78,16.91
2011-08-26,79,18.79
2011-09-02,77,18.22
2011-09-09,75,18.25
2011-09-16,76,19.92
2011-09-23,80,16.97
2011-09-30,77,17.95
2011-10-07,74,18.14
2011-10-14,70,19.04
2011-10-21,77,18.57
2011-10-28,75,20.63
2011-11-04,75,19.49
2011-11-11,76,19.28
2011-11-18,79,18.09
2011-11-25,73,16.53
2011-12-02,77,18.57
2011-12-09,76,17.22
2011-12-16,74,16.48
2011-12-23,70,17.75
2011-12-30,65,17.7
2012-01-06,70,19.75
2012-01-13,74,20.8
2012-01-20,77,21.29
2012-01-27,76,20.61
2012-02-03,78,22.28
2012-02-10,78,22.03
2012-02-17,79,22.69
2012-02-24,77,22.3
2012-03-02,78,22.91
2012-03-09,81,22.43
2012-03-16,77,24.38
2012-03-23,78,23.73
2012-03-30,81,24.17
2012-04-13,79,22.58
2012-04-20,80,22.6
2012-04-27,78,24.8
2012-05-04,79,23.75
2012-05-11,81,23.7
2012-05-18,81,21.72
2012-05-25,84,22.49
2012-06-01,84,21.86
2012-06-08,77,22.18
2012-06-15,76,22.43
2012-06-22,85,23.02
2012-06-29,72,24.23
2012-07-06,75,24.22
2012-07-13,75,24.75
2012-07-20,71,23.52
2012-07-27,73,23.78
2012-08-03,71,24.09
2012-08-10,72,24.83
2012-08-17,73,25.49
2012-08-24,74,25.1
2012-08-31,72,25.17
2012-09-07,74,27.5
2012-09-14,73,29.91
2012-09-21,74,28.43
2012-09-28,73,28.27
2012-10-05,70,30.31
2012-10-12,71,29.17
2012-10-19,70,28.63
2012-10-26,73,27.1
2012-11-02,68,27.14
2012-11-09,70,26.56
2012-11-16,70,26.02
2012-11-23,66,27.48
2012-11-30,69,27.15
2012-12-07,73,27.18
2012-12-14,69,27.07
2012-12-21,68,28.27
2012-12-28,64,27.79
2013-01-04,65,29.42
2013-01-11,71,28.31
2013-01-18,70,29.14
2013-01-25,93,29.35
2013-02-01,72,29.1
2013-02-08,73,29.25
2013-02-15,73,28.12
2013-02-22,72,27.9
2013-03-01,70,27.55
2013-03-08,72,29.35
2013-03-15,73,29.06
2013-03-22,73,28.23
2013-04-05,72,28.04
2013-04-12,74,28.79
2013-04-19,73,28.31
2013-04-26,72,29.05
2013-05-03,72,29.37
2013-05-10,74,30.46
2013-05-17,74,31.88
2013-05-24,73,31.94
2013-05-31,74,32.09
2013-06-07,75,32.25
2013-06-14,72,31.09
2013-06-21,72,31.23
2013-06-28,68,31.57
2013-07-05,70,34.31
2013-07-12,69,33.97
2013-07-19,72,34.83
2013-07-26,71,34.89
2013-08-02,70,35.44
2013-08-09,76,34.97
2013-08-16,71,34.6
2013-08-23,72,34.24
2013-08-30,73,32.02
2013-09-06,69,32.91
2013-09-13,70,33.31
2013-09-20,66,32.94
2013-09-27,69,32.6
2013-10-04,68,32.99
2013-10-11,69,33.51
2013-10-18,74,34.67
2013-10-25,72,33.71
2013-11-01,69,33.75
2013-11-08,69,35.72
2013-11-15,72,36.03
2013-11-22,75,36.41
2013-11-29,68,36.23
2013-12-06,71,35.45
2013-12-13,73,34.99
2013-12-20,75,36.39
2013-12-27,66,36.61
2014-01-03,68,36.55
2014-01-10,84,38.39
2014-01-17,89,39.34
2014-01-24,81,38.05
2014-01-31,78,37.02
2014-02-07,75,38.05
2014-02-14,77,37.84
2014-02-21,79,37.22
2014-02-28,76,37.68
2014-03-07,76,39.74
2014-03-14,77,38.62
2014-03-21,75,40.36
2014-03-28,78,39.03
2014-04-04,78,39.68
2014-04-11,76,37.75
2014-04-25,80,38.44
