"Date","The.Walt.Disney.Company","Price"
2013-07-26,30,64.98
2013-08-02,24,66.51
2013-08-09,27,64.73
2013-08-16,24,62.17
2013-08-23,34,61.73
2013-08-30,34,60.83
2013-09-06,33,61.39
2013-09-13,36,66.69
2013-09-20,40,65.01
2013-09-27,37,65.19
2013-10-04,44,65.3
2013-10-11,39,66.21
2013-10-18,41,67.15
2013-10-25,43,69.26
2013-11-01,46,69.01
2013-11-08,37,68.58
2013-11-15,48,70
2013-11-22,38,70.2
2013-11-29,37,70.54
2013-12-06,39,71.46
2013-12-13,39,69.62
2013-12-20,37,72.4
2013-12-27,22,74.35
2014-01-03,22,76.11
2014-01-10,33,75.39
2014-01-17,40,73.98
2014-01-24,38,72.72
2014-01-31,39,72.61
2014-02-07,35,75.67
2014-02-14,43,79.23
2014-02-21,47,80.13
2014-02-28,36,80.81
2014-03-07,42,82.21
2014-03-14,48,80.07
2014-03-21,44,80.35
2014-03-28,47,78.99
2014-04-04,41,80.43
2014-04-11,45,77.01
2014-04-25,52,78.23
