"Date","McCormick...Co.","Price"
2010-07-16,27,38.42
2010-07-23,28,38.98
2010-07-30,27,39.33
2010-08-06,27,39.32
2010-08-13,26,39.75
2010-08-20,26,40.9
2010-08-27,24,40.1
2010-09-03,24,40.55
2010-09-10,25,40.87
2010-09-17,27,41.24
2010-09-24,41,41.72
2010-10-01,26,41.66
2010-10-08,27,41.69
2010-10-15,26,42.92
2010-10-22,36,43.4
2010-10-29,25,44.2
2010-11-05,27,44.7
2010-11-12,29,43.66
2010-11-19,28,44.12
2010-11-26,27,44.27
2010-12-03,27,46.26
2010-12-10,26,46.51
2010-12-17,26,47.71
2010-12-31,26,46.53
2011-01-07,26,45.19
2011-01-14,26,45.95
2011-01-21,25,46.47
2011-01-28,27,44.51
2011-02-04,28,44.95
2011-02-11,32,45.1
2011-02-18,31,46.06
2011-02-25,29,47.34
2011-03-04,28,48.16
2011-03-11,30,48.86
2011-03-18,29,48.86
2011-03-25,30,49.61
2011-04-01,40,47.91
2011-04-08,33,46.96
2011-04-15,30,48.01
2011-04-29,28,49.12
2011-05-06,31,48.77
2011-05-13,30,49.69
2011-05-20,28,50.31
2011-05-27,27,49.8
2011-06-03,28,48.19
2011-06-10,27,48.25
2011-06-17,28,49.75
2011-06-24,30,50
2011-07-01,27,49.88
2011-07-08,28,49.1
2011-07-15,29,49.23
2011-07-22,28,50.25
2011-07-29,29,48.65
2011-08-05,29,46.6
2011-08-12,28,45.8
2011-08-19,30,44.29
2011-08-26,28,45.73
2011-09-02,26,46.62
2011-09-09,27,45.51
2011-09-16,29,46.95
2011-09-23,29,46.65
2011-09-30,28,46.16
2011-10-07,29,46.68
2011-10-14,30,47.49
2011-10-21,29,49.81
2011-10-28,29,49.62
2011-11-04,30,49.73
2011-11-11,35,49.55
2011-11-18,33,48.17
2011-11-25,29,47.44
2011-12-02,29,48.77
2011-12-09,30,49.79
2011-12-16,30,48.76
2011-12-23,32,50.34
2011-12-30,32,50.42
2012-01-06,30,50.38
2012-01-13,31,51.21
2012-01-20,27,51.51
2012-01-27,28,50.41
2012-02-03,26,51.24
2012-02-10,28,50.45
2012-02-17,28,50.78
2012-02-24,28,50.28
2012-03-02,32,50.8
2012-03-09,28,50.98
2012-03-16,27,51.73
2012-03-23,26,52.15
2012-03-30,27,54.43
2012-04-13,27,53.7
2012-04-20,26,55.41
2012-04-27,27,55.98
2012-05-04,27,55.79
2012-05-11,27,56.6
2012-05-18,27,56.43
2012-05-25,29,56.87
2012-06-01,26,55.2
2012-06-08,26,55.8
2012-06-15,25,57.76
2012-06-22,28,57.87
2012-06-29,25,60.65
2012-07-06,26,60.93
2012-07-13,29,60.9
2012-07-20,32,60.88
2012-07-27,33,61.27
2012-08-03,33,59.99
2012-08-10,37,60.16
2012-08-17,34,60.12
2012-08-24,33,61.1
2012-08-31,29,61.44
2012-09-07,30,63
2012-09-14,30,62.99
2012-09-21,28,63.16
2012-09-28,28,62.04
2012-10-05,28,62.64
2012-10-12,26,61.76
2012-10-19,27,61.64
2012-10-26,25,61.51
2012-11-02,25,61.48
2012-11-09,35,62
2012-11-16,31,63.55
2012-11-23,29,66.37
2012-11-30,30,64.56
2012-12-07,31,64.2
2012-12-14,29,64.42
2012-12-21,30,64.07
2012-12-28,29,62.64
2013-01-04,29,65.25
2013-01-11,28,65.07
2013-01-18,27,66.65
2013-01-25,28,61.87
2013-02-01,28,63.38
2013-02-08,27,63.63
2013-02-15,30,64.69
2013-02-22,30,66.2
2013-03-01,26,68.39
2013-03-08,27,70.2
2013-03-15,26,70.75
2013-03-22,26,72.19
2013-04-05,26,70.9
2013-04-12,27,71.72
2013-04-19,26,72.3
2013-04-26,29,71.2
2013-05-03,27,72.68
2013-05-10,27,73.08
2013-05-17,34,74.68
2013-05-24,28,73.83
2013-05-31,26,69.08
2013-06-07,25,70.92
2013-06-14,24,72.25
2013-06-21,25,71.44
2013-06-28,24,70.36
2013-07-05,24,69.68
2013-07-12,27,71.63
2013-07-19,27,73.07
2013-07-26,27,71.95
2013-08-02,28,72.74
2013-08-09,30,72.8
2013-08-16,28,70.69
2013-08-23,28,70.16
2013-08-30,28,67.65
2013-09-06,27,67.42
2013-09-13,26,67.79
2013-09-20,26,68.91
2013-09-27,25,65.4
2013-10-04,25,64.66
2013-10-11,27,66.28
2013-10-18,26,67.92
2013-10-25,27,69.15
2013-11-01,27,68.71
2013-11-08,27,69.1
2013-11-15,28,70.09
2013-11-22,27,69.36
2013-11-29,26,69
2013-12-06,25,69.37
2013-12-13,25,67.66
2013-12-20,27,68.61
2013-12-27,25,68.76
2014-01-03,27,68.55
2014-01-10,25,69.45
2014-01-17,28,68.95
2014-01-24,26,68.99
2014-01-31,28,64.18
2014-02-07,27,63.04
2014-02-14,33,65.5
2014-02-21,27,65.97
2014-02-28,26,66.4
2014-03-07,26,66.99
2014-03-14,26,67.65
2014-03-21,29,67.54
2014-03-28,27,71.32
2014-04-04,25,70.29
2014-04-11,26,70
2014-04-25,26,71.15
