"Date","SO","Price"
2012-01-20,81,45.3
2012-01-27,76,45.02
2012-02-03,86,44.3
2012-02-10,90,44.61
2012-02-17,92,44.38
2012-02-24,93,44.54
2012-03-02,92,44.27
2012-03-09,96,45.11
2012-03-16,93,44.34
2012-03-23,94,44.12
2012-03-30,93,44.93
2012-04-13,96,44.74
2012-04-20,96,45.83
2012-04-27,95,45.99
2012-05-04,96,45.36
2012-05-11,94,45.54
2012-05-18,94,45.48
2012-05-25,96,45.69
2012-06-01,95,45.95
2012-06-08,95,47.38
2012-06-15,97,48
2012-06-22,99,46.55
2012-06-29,97,46.3
2012-07-06,98,46.54
2012-07-13,95,47.61
2012-07-20,93,47.77
2012-07-27,94,48.42
2012-08-03,95,47.35
2012-08-10,91,46.92
2012-08-17,99,46.08
2012-08-24,100,45.88
2012-08-31,93,45.33
2012-09-07,96,45.91
2012-09-14,97,45.05
2012-09-21,97,45.26
2012-09-28,92,46.09
2012-10-05,95,45.97
2012-10-12,95,45.61
2012-10-19,95,46.64
2012-10-26,97,46.33
2012-11-02,91,45.77
2012-11-09,94,43.03
2012-11-16,91,42.69
2012-11-23,91,42.03
2012-11-30,92,43.55
2012-12-07,91,43.73
2012-12-14,92,42.95
2012-12-21,94,43.32
2012-12-28,93,42.33
2013-01-04,92,44.16
2013-01-11,88,43.16
2013-01-18,91,43.49
2013-01-25,91,44.45
2013-02-01,90,44.01
2013-02-08,84,43.85
2013-02-15,81,44.11
2013-02-22,88,44.74
2013-03-01,90,44.83
2013-03-08,92,45.32
2013-03-15,93,45.52
2013-03-22,92,45.66
2013-04-05,93,47.19
2013-04-12,93,47.88
2013-04-19,91,48.51
2013-04-26,92,47.95
2013-05-03,90,47.26
2013-05-10,95,46.1
2013-05-17,91,46.6
2013-05-24,89,45.2
2013-05-31,90,43.9
2013-06-07,89,44.44
2013-06-14,91,44.49
2013-06-21,90,43.1
2013-06-28,89,44.13
2013-07-05,92,43.14
2013-07-12,92,44.99
2013-07-19,96,45.56
2013-07-26,94,45.34
2013-08-02,94,44.34
2013-08-09,95,43.87
2013-08-16,97,42.39
2013-08-23,94,42.23
2013-08-30,94,41.62
2013-09-06,90,41.12
2013-09-13,93,40.96
2013-09-20,90,41.78
2013-09-27,91,41.23
2013-10-04,93,40.66
2013-10-11,89,41.69
2013-10-18,95,41.94
2013-10-25,91,42.46
2013-11-01,93,41.02
2013-11-08,95,41.21
2013-11-15,95,42.42
2013-11-22,90,41.23
2013-11-29,90,40.63
2013-12-06,88,41.43
2013-12-13,91,40.12
2013-12-20,91,41.06
2013-12-27,89,40.86
2014-01-03,88,40.47
2014-01-10,90,41.39
2014-01-17,87,41.16
2014-01-24,85,41.22
2014-01-31,78,41.24
2014-02-07,83,41.1
2014-02-14,93,42.52
2014-02-21,91,42.35
2014-02-28,92,42.35
2014-03-07,91,42.1
2014-03-14,96,43.49
2014-03-21,93,42.92
2014-03-28,94,43.37
2014-04-04,93,43.7
2014-04-11,95,44.57
2014-04-25,97,46.26
