"Date","General.Electric","Price"
2006-05-12,60,34.28
2006-05-19,51,34.16
2006-05-26,54,34.33
2006-06-02,57,34.66
2006-06-09,60,34.07
2006-06-16,57,33.93
2006-06-23,61,33.16
2006-06-30,56,32.96
2006-07-07,60,33.3
2006-07-14,60,32.11
2006-07-21,56,32.25
2006-07-28,59,33.02
2006-08-04,62,32.8
2006-08-11,57,32.5
2006-08-18,56,34
2006-08-25,51,33.84
2006-09-01,52,34.14
2006-09-08,52,34.01
2006-09-15,56,34.85
2006-09-22,59,34.4
2006-09-29,62,35.3
2006-10-06,53,36.14
2006-10-13,54,35.98
2006-10-20,57,35.47
2006-10-27,55,35.21
2006-11-03,57,34.77
2006-11-10,55,35.17
2006-11-17,54,36.25
2006-11-24,53,35.69
2006-12-01,55,35.28
2006-12-08,52,35.27
2006-12-15,59,37.36
2006-12-22,51,37.57
2006-12-29,46,37.21
2007-01-05,53,37.56
2007-01-12,54,37.89
2007-01-19,59,36.95
2007-01-26,56,36.07
2007-02-02,57,36.27
2007-02-09,56,35.53
2007-02-16,55,35.87
2007-02-23,55,35.1
2007-03-02,51,34.87
2007-03-09,51,34.32
2007-03-16,51,34.36
2007-03-23,51,35.82
2007-03-30,48,35.36
2007-04-13,51,35.38
2007-04-20,52,35.13
2007-04-27,56,36.84
2007-05-04,51,37.15
2007-05-11,46,36.97
2007-05-18,60,36.96
2007-05-25,56,37.56
2007-06-01,52,37.45
2007-06-08,54,37.32
2007-06-15,51,38.12
2007-06-22,51,38.24
2007-06-29,48,38.28
2007-07-06,47,38.48
2007-07-13,54,39.5
2007-07-20,54,40.12
2007-07-27,49,38.79
2007-08-03,50,38.06
2007-08-10,47,38.23
2007-08-17,47,38.45
2007-08-24,48,39.41
2007-08-31,51,38.87
2007-09-07,47,38.75
2007-09-14,49,40.35
2007-09-21,47,41.25
2007-09-28,46,41.4
2007-10-05,50,41.77
2007-10-12,49,41.03
2007-10-19,48,40.04
2007-10-26,45,40.38
2007-11-02,47,40.33
2007-11-09,46,38.38
2007-11-16,51,38.65
2007-11-23,48,37.67
2007-11-30,53,38.29
2007-12-07,61,37.23
2007-12-14,46,36.91
2007-12-21,42,37.14
2007-12-28,40,37.34
