"Date","International.Paper","Price"
2011-03-11,27,25.99
2011-03-18,27,26.87
2011-03-25,29,27.79
2011-04-01,29,30.42
2011-04-08,28,29.9
2011-04-15,26,29.95
2011-04-29,25,30.88
2011-05-06,31,31.77
2011-05-13,29,31.37
2011-05-20,33,31.31
2011-05-27,27,30.91
2011-06-03,25,29.88
2011-06-10,33,28.3
2011-06-17,30,26.57
2011-06-24,25,28.78
2011-07-01,29,30.61
2011-07-08,27,30.26
2011-07-15,34,29.87
2011-07-22,31,30.86
2011-07-29,32,29.7
2011-08-05,34,25.55
2011-08-12,33,25.55
2011-08-19,29,23.67
2011-08-26,31,25.68
2011-09-02,28,25.49
2011-09-09,34,26.17
2011-09-16,30,27.98
2011-09-23,33,25.02
2011-09-30,29,23.25
2011-10-07,28,24.05
2011-10-14,28,26.01
2011-10-21,32,25.93
2011-10-28,31,28.81
2011-11-04,28,28.81
2011-11-11,32,28.89
2011-11-18,29,28.02
2011-11-25,26,25.89
2011-12-02,30,28.77
2011-12-09,31,28.27
2011-12-16,30,27.79
2011-12-23,24,29.24
2011-12-30,20,29.6
2012-01-06,25,30.94
2012-01-13,28,31.49
2012-01-20,28,32.46
2012-01-27,32,30.98
2012-02-03,30,31.85
2012-02-10,30,31.85
2012-02-17,29,33.46
2012-02-24,29,32.92
2012-03-02,29,35.62
2012-03-09,27,35.23
2012-03-16,30,35.57
2012-03-23,27,35.19
2012-03-30,29,35.1
2012-04-13,24,32.97
2012-04-20,25,33.02
2012-04-27,29,33.85
2012-05-04,27,32.13
2012-05-11,28,31.28
2012-05-18,26,28.88
2012-05-25,27,29.31
2012-06-01,25,28.13
2012-06-08,25,29.27
2012-06-15,27,28.84
2012-06-22,27,29.22
2012-06-29,26,28.91
2012-07-06,24,29.07
2012-07-13,25,30.75
2012-07-20,25,32.29
2012-07-27,27,33.36
2012-08-03,25,32.71
2012-08-10,26,32.89
2012-08-17,26,34.58
2012-08-24,27,34.55
2012-08-31,28,34.56
2012-09-07,25,36.3
2012-09-14,30,35.52
2012-09-21,31,35.51
2012-09-28,28,36.32
2012-10-05,30,36.81
2012-10-12,27,36.8
2012-10-19,25,37.42
2012-10-26,31,35.66
2012-11-02,26,35.93
2012-11-09,26,34.85
2012-11-16,25,34.31
2012-11-23,23,36.26
2012-11-30,26,37.14
2012-12-07,26,36.04
2012-12-14,27,38.06
2012-12-21,24,39.31
2012-12-28,18,38.91
2013-01-04,22,40.85
2013-01-11,26,40.11
2013-01-18,26,41.91
2013-01-25,25,42.51
2013-02-01,26,42.35
