"Date","DirecTV","Price"
2012-06-08,46,44.1
2012-06-15,44,44.88
2012-06-22,42,47.48
2012-06-29,41,48.82
2012-07-06,45,49.24
2012-07-13,100,48.32
2012-07-20,71,48.33
2012-07-27,53,49.4
2012-08-03,52,50.16
2012-08-10,53,52.1
2012-08-17,50,51.64
2012-08-24,56,52.63
2012-08-31,59,52.09
2012-09-07,55,53.29
2012-09-14,55,54.13
2012-09-21,50,52.31
2012-09-28,48,52.44
2012-10-05,49,53.12
2012-10-12,49,49.84
2012-10-19,47,51.35
2012-10-26,45,51.27
2012-11-02,49,50.35
2012-11-09,46,48.83
2012-11-16,47,48.99
2012-11-23,50,49.49
2012-11-30,47,49.7
2012-12-07,45,50.2
2012-12-14,40,49.82
2012-12-21,41,50.27
2012-12-28,43,49.42
2013-01-04,49,51.14
2013-01-11,49,52.4
2013-01-18,47,53.36
2013-01-25,48,53.65
2013-02-01,53,51.74
2013-02-08,47,53.06
2013-02-15,44,49.19
2013-02-22,49,49.09
2013-03-01,53,48.55
2013-03-08,45,50.08
2013-03-15,45,54.99
2013-03-22,43,55.37
2013-04-05,45,55.4
2013-04-12,42,56.05
2013-04-19,42,55.18
2013-04-26,42,56.33
2013-05-03,42,57.89
2013-05-10,38,63.8
2013-05-17,41,65.21
2013-05-24,40,63.74
2013-05-31,41,61.19
2013-06-07,45,62.2
2013-06-14,42,62
2013-06-21,42,61.73
2013-06-28,41,61.64
2013-07-05,43,63.64
2013-07-12,43,64.91
2013-07-19,42,65.2
2013-07-26,43,63.74
2013-08-02,45,61.41
2013-08-09,55,62.29
2013-08-16,58,59.57
2013-08-23,53,57.88
2013-08-30,58,58.18
2013-09-06,59,58.67
2013-09-13,61,61.77
2013-09-20,55,63.41
2013-09-27,50,59.96
2013-10-04,52,59.36
2013-10-11,48,60.65
2013-10-18,48,61.65
2013-10-25,46,62.81
2013-11-01,45,63.67
2013-11-08,47,63.89
2013-11-15,45,64.88
2013-11-22,44,64.95
2013-11-29,48,66.11
2013-12-06,47,66.44
2013-12-13,42,66.63
2013-12-20,40,66.28
2013-12-27,45,67.82
2014-01-03,50,69.04
2014-01-10,51,72.09
