Date,"AT&T, Inc.",Price
2009-07-17,83,23.98
2009-07-24,80,25.45
2009-07-31,82,26.23
2009-08-07,81,25.62
2009-08-14,82,25.45
2009-08-21,86,26.00
2009-08-28,79,26.21
2009-09-04,81,25.51
2009-09-11,78,26.66
2009-09-18,86,27.05
2009-09-25,80,26.96
2009-10-02,78,26.52
2009-10-09,83,25.66
2009-10-16,81,25.70
2009-10-23,79,25.73
2009-10-30,80,25.67
2009-11-06,81,25.93
2009-11-13,81,26.25
2009-11-20,81,26.02
2009-11-27,78,26.99
2009-12-04,79,27.60
2009-12-11,78,28.01
2009-12-18,76,27.32
2009-12-25,72,
2010-01-01,75,
2010-01-08,79,27.10
2010-01-15,80,25.79
2010-01-22,81,25.39
2010-01-29,79,25.36
2010-02-05,81,25.24
2010-02-12,78,25.07
2010-02-19,82,25.10
2010-02-26,83,24.81
2010-03-05,85,24.99
2010-03-12,83,25.62
2010-03-19,80,26.24
2010-03-26,82,26.24
2010-04-02,86,
2010-04-09,85,26.44
2010-04-16,82,25.93
2010-04-23,82,26.25
2010-04-30,84,26.06
2010-05-07,81,25.10
2010-05-14,82,25.40
2010-05-21,83,24.85
2010-05-28,80,24.30
2010-06-04,80,24.17
2010-06-11,84,25.29
2010-06-18,85,25.43
2010-06-25,83,24.79
2010-07-02,85,24.29
2010-07-09,85,24.83
2010-07-16,89,24.69
2010-07-23,89,25.54
2010-07-30,89,25.94
2010-08-06,90,26.54
2010-08-13,88,26.72
2010-08-20,90,26.45
2010-08-27,86,26.94
2010-09-03,84,27.44
2010-09-10,82,27.83
2010-09-17,86,28.17
2010-09-24,83,28.58
2010-10-01,84,28.81
2010-10-08,84,28.22
2010-10-15,82,28.33
2010-10-22,83,28.29
2010-10-29,81,28.52
2010-11-05,84,29.27
2010-11-12,84,28.46
2010-11-19,86,28.32
2010-11-26,81,27.93
2010-12-03,83,28.49
2010-12-10,81,28.89
2010-12-17,79,29.21
2010-12-24,76,
2010-12-31,82,29.38
2011-01-07,86,28.85
2011-01-14,83,28.43
2011-01-21,85,28.33
2011-01-28,86,27.49
2011-02-04,84,27.97
2011-02-11,88,28.47
2011-02-18,88,28.57
2011-02-25,84,28.13
2011-03-04,89,27.92
2011-03-11,87,28.46
2011-03-18,83,27.94
2011-03-25,86,28.85
2011-04-01,90,30.62
2011-04-08,93,30.71
2011-04-15,90,30.65
2011-04-22,89,
2011-04-29,93,31.12
2011-05-06,95,31.26
2011-05-13,94,31.41
2011-05-20,92,31.32
2011-05-27,90,31.29
2011-06-03,89,30.65
2011-06-10,91,30.34
2011-06-17,95,30.77
2011-06-24,93,30.44
2011-07-01,95,31.68
2011-07-08,95,31.14
2011-07-15,95,30.31
2011-07-22,91,30.32
2011-07-29,94,29.26
2011-08-05,93,28.93
2011-08-12,93,28.22
2011-08-19,91,27.99
2011-08-26,91,29.04
2011-09-02,90,28.05
2011-09-09,89,27.54
2011-09-16,91,28.94
2011-09-23,90,27.85
2011-09-30,89,28.52
2011-10-07,88,28.44
2011-10-14,87,29.17
2011-10-21,87,29.13
2011-10-28,89,29.74
2011-11-04,88,29.16
2011-11-11,90,29.42
2011-11-18,90,28.64
2011-11-25,86,27.41
2011-12-02,88,28.96
2011-12-09,89,29.03
2011-12-16,86,28.85
2011-12-23,84,29.87
2011-12-30,81,30.24
2012-01-06,88,29.68
2012-01-13,88,30.07
2012-01-20,89,30.51
2012-01-27,90,29.16
2012-02-03,91,29.95
2012-02-10,90,29.84
2012-02-17,94,30.01
2012-02-24,92,30.34
2012-03-02,93,30.87
2012-03-09,92,31.18
2012-03-16,89,31.59
2012-03-23,87,31.52
2012-03-30,90,31.23
2012-04-06,89,
2012-04-13,91,30.54
2012-04-20,91,30.86
2012-04-27,91,32.67
2012-05-04,94,32.86
2012-05-11,91,33.59
2012-05-18,89,33.66
2012-05-25,90,33.69
2012-06-01,89,33.90
2012-06-08,91,34.55
2012-06-15,93,35.71
2012-06-22,91,35.17
2012-06-29,90,35.66
2012-07-06,92,35.44
2012-07-13,93,35.35
2012-07-20,93,35.29
2012-07-27,96,37.14
2012-08-03,97,37.58
2012-08-10,99,37.49
2012-08-17,99,37.17
2012-08-24,97,36.95
2012-08-31,94,36.64
2012-09-07,97,37.30
2012-09-14,93,37.26
2012-09-21,96,38.08
2012-09-28,94,37.70
2012-10-05,93,37.86
2012-10-12,88,35.63
2012-10-19,90,35.32
2012-10-26,91,34.63
2012-11-02,88,34.93
2012-11-09,90,33.54
2012-11-16,89,33.14
2012-11-23,88,34.36
2012-11-30,90,34.13
2012-12-07,92,33.74
2012-12-14,91,34.01
2012-12-21,86,33.67
2012-12-28,85,33.32
2013-01-04,92,35.23
2013-01-11,90,34.27
2013-01-18,92,33.44
2013-01-25,94,34.02
2013-02-01,90,35.51
2013-02-08,91,35.27
2013-02-15,95,35.36
2013-02-22,91,35.68
2013-03-01,96,36.01
2013-03-08,93,36.68
2013-03-15,92,36.43
2013-03-22,91,36.43
2013-03-29,94,
2013-04-05,90,38.02
2013-04-12,94,38.59
2013-04-19,96,38.28
2013-04-26,93,37.04
2013-05-03,94,37.34
2013-05-10,96,37.36
2013-05-17,94,37.44
2013-05-24,93,36.75
2013-05-31,90,34.99
2013-06-07,93,35.45
2013-06-14,92,35.91
2013-06-21,96,34.47
2013-06-28,92,35.40
2013-07-05,97,35.83
2013-07-12,97,35.81
2013-07-19,96,35.81
2013-07-26,97,35.60
2013-08-02,96,35.77
2013-08-09,94,34.80
2013-08-16,96,34.18
2013-08-23,92,34.29
2013-08-30,99,33.83
2013-09-06,92,33.41
2013-09-13,94,34.32
2013-09-20,94,34.31
2013-09-27,92,33.98
2013-10-04,90,33.75
2013-10-11,95,34.20
2013-10-18,92,34.61
2013-10-25,89,35.19
2013-11-01,95,36.24
2013-11-08,93,35.17
2013-11-15,98,35.43
2013-11-22,92,35.42
2013-11-29,91,35.21
2013-12-06,92,34.53
2013-12-13,94,33.85
2013-12-20,93,34.30
2013-12-27,84,35.18
2014-01-03,94,34.80
2014-01-10,92,33.62
2014-01-17,97,33.70
2014-01-24,95,33.42
2014-01-31,98,33.32
2014-02-07,94,32.30
2014-02-14,95,33.15
2014-02-21,95,32.80
2014-02-28,96,31.93
2014-03-07,99,32.54
2014-03-14,93,32.49
2014-03-21,93,34.30
2014-03-28,95,35.07
2014-04-04,96,35.55
2014-04-11,97,35.20
2014-04-18,100,
2014-04-25,98,34.49
2014-05-02, ,
