Date,Microsoft Corporation,Price
2005-07-22,61,25.68
2005-07-29,54,25.61
2005-08-05,53,27.76
2005-08-12,44,27.05
2005-08-19,52,26.72
2005-08-26,56,26.97
2005-09-02,31,27.02
2005-09-09,57,26.58
2005-09-16,45,26.07
2005-09-23,49,25.27
2005-09-30,43,25.73
2005-10-07,51,24.59
2005-10-14,41,24.67
2005-10-21,52,24.78
2005-10-28,46,25.53
2005-11-04,42,26.66
2005-11-11,47,27.28
2005-11-18,47,28.07
2005-11-25,38,27.76
2005-12-02,55,28.01
2005-12-09,62,27.71
2005-12-16,50,26.90
2005-12-23,30,26.64
2005-12-30,32,26.15
2006-01-06,34,26.91
2006-01-13,55,27.19
2006-01-20,45,26.41
2006-01-27,40,27.79
2006-02-03,49,27.54
2006-02-10,54,26.69
2006-02-17,42,26.70
2006-02-24,64,26.63
2006-03-03,43,26.93
2006-03-10,38,27.17
2006-03-17,43,27.50
2006-03-24,47,27.01
2006-03-31,53,27.21
2006-04-07,47,27.25
2006-04-14,42,
2006-04-21,29,27.15
2006-04-28,74,24.15
2006-05-05,50,23.80
2006-05-12,49,23.17
2006-05-19,58,22.56
2006-05-26,43,23.72
2006-06-02,34,22.76
2006-06-09,40,21.92
2006-06-16,29,22.10
2006-06-23,59,22.50
2006-06-30,37,23.30
2006-07-07,47,23.30
2006-07-14,30,22.29
2006-07-21,52,23.87
2006-07-28,43,24.25
2006-08-04,38,24.29
2006-08-11,31,24.43
2006-08-18,57,25.79
2006-08-25,33,25.85
2006-09-01,45,25.84
2006-09-08,37,25.60
2006-09-15,47,26.85
2006-09-22,38,26.66
2006-09-29,64,27.35
2006-10-06,43,27.87
2006-10-13,39,28.37
2006-10-20,31,28.43
2006-10-27,61,28.34
2006-11-03,42,28.73
2006-11-10,48,29.24
2006-11-17,35,29.40
2006-11-24,46,29.76
2006-12-01,33,29.12
2006-12-08,43,29.40
2006-12-15,48,30.19
2006-12-22,42,29.64
2006-12-29,31,29.86
2007-01-05,50,29.64
2007-01-12,31,31.21
2007-01-19,45,31.11
2007-01-26,40,30.60
2007-02-02,49,30.19
2007-02-09,53,28.98
2007-02-16,53,28.74
2007-02-23,53,28.90
2007-03-02,39,27.76
2007-03-09,42,27.29
2007-03-16,46,27.33
2007-03-23,59,28.02
2007-03-30,48,27.87
2007-04-06,56,
2007-04-13,49,28.61
2007-04-20,49,29.02
2007-04-27,43,30.12
2007-05-04,46,30.56
2007-05-11,54,30.89
2007-05-18,40,30.83
2007-05-25,42,30.48
2007-06-01,48,30.59
2007-06-08,39,30.05
2007-06-15,45,30.49
2007-06-22,49,29.49
2007-06-29,43,29.47
2007-07-06,43,29.97
2007-07-13,40,29.82
2007-07-20,40,31.16
2007-07-27,49,29.39
2007-08-03,47,28.96
2007-08-10,42,28.71
2007-08-17,46,28.25
2007-08-24,47,28.81
2007-08-31,38,28.73
2007-09-07,42,28.44
2007-09-14,49,29.04
2007-09-21,51,28.65
2007-09-28,45,29.46
2007-10-05,40,29.84
2007-10-12,46,30.17
2007-10-19,48,30.17
2007-10-26,40,35.03
2007-11-02,46,37.06
2007-11-09,46,33.73
2007-11-16,53,34.09
2007-11-23,44,34.11
2007-11-30,56,33.60
2007-12-07,38,34.53
2007-12-14,46,35.31
2007-12-21,47,36.06
2007-12-28,26,36.12
2008-01-04,45,34.38
2008-01-11,41,33.91
2008-01-18,36,33.01
2008-01-25,43,32.94
2008-02-01,41,30.45
2008-02-08,57,28.56
2008-02-15,57,28.42
2008-02-22,55,27.68
2008-02-29,46,27.20
2008-03-07,46,27.87
2008-03-14,42,27.96
2008-03-21,46,
2008-03-28,43,27.91
2008-04-04,41,29.16
2008-04-11,40,28.28
2008-04-18,38,30.00
2008-04-25,47,29.83
2008-05-02,38,29.24
2008-05-09,37,29.39
2008-05-16,39,29.99
2008-05-23,39,28.05
2008-05-30,40,28.32
2008-06-06,41,27.49
2008-06-13,34,29.07
2008-06-20,40,28.23
2008-06-27,41,27.63
2008-07-04,33,
2008-07-11,32,25.25
2008-07-18,53,25.86
2008-07-25,41,26.16
2008-08-01,42,25.44
2008-08-08,42,28.13
2008-08-15,47,27.81
2008-08-22,38,27.84
2008-08-29,47,27.29
2008-09-05,44,25.65
2008-09-12,56,27.62
2008-09-19,45,25.16
2008-09-26,37,27.40
2008-10-03,43,26.32
2008-10-10,33,21.50
2008-10-17,42,23.93
2008-10-24,52,21.96
2008-10-31,45,22.33
2008-11-07,39,21.50
2008-11-14,39,20.06
2008-11-21,44,19.68
2008-11-28,37,20.22
2008-12-05,48,19.87
2008-12-12,41,19.36
2008-12-19,38,19.12
2008-12-26,34,19.13
2009-01-02,35,20.33
2009-01-09,45,19.52
2009-01-16,46,19.71
2009-01-23,43,17.20
2009-01-30,42,17.10
2009-02-06,48,19.66
2009-02-13,37,19.09
2009-02-20,40,18.00
2009-02-27,41,16.15
2009-03-06,43,15.28
2009-03-13,45,16.65
2009-03-20,47,17.06
2009-03-27,41,18.13
2009-04-03,44,18.75
2009-04-10,51,
2009-04-17,42,19.20
2009-04-24,43,20.91
2009-05-01,40,20.24
2009-05-08,41,19.42
2009-05-15,39,20.22
2009-05-22,32,19.75
2009-05-29,38,20.89
2009-06-05,40,22.14
2009-06-12,43,23.33
2009-06-19,34,24.07
2009-06-26,35,23.35
2009-07-03,34,
2009-07-10,38,22.39
2009-07-17,34,24.29
2009-07-24,34,23.45
2009-07-31,33,23.52
2009-08-07,36,23.56
2009-08-14,39,23.69
2009-08-21,35,24.41
2009-08-28,40,24.68
2009-09-04,42,24.62
2009-09-11,41,24.86
2009-09-18,46,25.26
2009-09-25,41,25.55
2009-10-02,36,24.96
2009-10-09,48,25.55
2009-10-16,43,26.50
2009-10-23,49,28.02
2009-10-30,49,27.73
2009-11-06,51,28.52
2009-11-13,56,29.63
2009-11-20,47,29.62
2009-11-27,38,29.22
2009-12-04,43,29.98
2009-12-11,39,29.85
2009-12-18,46,30.36
2009-12-25,36,
2010-01-01,28,
2010-01-08,39,30.66
2010-01-15,38,30.86
2010-01-22,42,28.96
2010-01-29,40,28.18
2010-02-05,44,28.02
2010-02-12,40,27.93
2010-02-19,52,28.77
2010-02-26,42,28.67
2010-03-05,47,28.59
2010-03-12,51,29.27
2010-03-19,41,29.59
2010-03-26,33,29.66
2010-04-02,40,
2010-04-09,44,30.34
2010-04-16,39,30.67
2010-04-23,42,30.96
2010-04-30,42,30.54
2010-05-07,35,28.21
2010-05-14,38,28.93
2010-05-21,40,26.84
2010-05-28,36,25.80
2010-06-04,29,25.79
2010-06-11,34,25.66
2010-06-18,41,26.44
2010-06-25,39,24.53
2010-07-02,39,23.27
2010-07-09,42,24.27
2010-07-16,37,24.89
2010-07-23,37,25.81
2010-07-30,33,25.81
2010-08-06,38,25.55
2010-08-13,34,24.40
2010-08-20,38,24.23
2010-08-27,31,23.93
2010-09-03,41,24.29
2010-09-10,38,23.85
2010-09-17,38,25.22
2010-09-24,44,24.78
2010-10-01,38,24.38
2010-10-08,38,24.57
2010-10-15,33,25.54
2010-10-22,41,25.38
2010-10-29,43,26.67
2010-11-05,38,26.85
2010-11-12,46,26.27
2010-11-19,50,25.69
2010-11-26,46,25.25
2010-12-03,42,27.02
2010-12-10,42,27.34
2010-12-17,35,27.90
2010-12-24,38,
2010-12-31,34,27.91
2011-01-07,40,28.60
2011-01-14,39,28.30
2011-01-21,45,28.02
2011-01-28,39,27.75
2011-02-04,43,27.77
2011-02-11,43,27.25
2011-02-18,38,27.06
2011-02-25,41,26.55
2011-03-04,41,25.95
2011-03-11,43,25.68
2011-03-18,38,24.80
2011-03-25,42,25.62
2011-04-01,36,25.48
2011-04-08,40,26.07
2011-04-15,45,25.37
2011-04-22,39,
2011-04-29,36,25.92
2011-05-06,35,25.87
2011-05-13,38,25.03
2011-05-20,36,24.49
2011-05-27,34,24.76
2011-06-03,39,23.91
2011-06-10,34,23.71
2011-06-17,42,24.26
2011-06-24,37,24.30
2011-07-01,37,26.02
2011-07-08,36,26.92
2011-07-15,35,26.78
2011-07-22,33,27.53
2011-07-29,31,27.40
2011-08-05,37,25.68
2011-08-12,36,25.10
2011-08-19,28,24.05
2011-08-26,27,25.25
2011-09-02,35,25.80
2011-09-09,35,25.74
2011-09-16,30,27.12
2011-09-23,37,25.06
2011-09-30,37,24.89
2011-10-07,34,26.25
2011-10-14,32,27.27
2011-10-21,32,27.16
2011-10-28,34,26.98
2011-11-04,34,26.25
2011-11-11,33,26.91
2011-11-18,34,25.30
2011-11-25,33,24.30
2011-12-02,39,25.22
2011-12-09,35,25.70
2011-12-16,32,26.00
2011-12-23,31,26.03
2011-12-30,32,25.96
2012-01-06,31,28.11
2012-01-13,35,28.25
2012-01-20,33,29.71
2012-01-27,35,29.23
2012-02-03,31,30.24
2012-02-10,28,30.50
2012-02-17,32,31.25
2012-02-24,28,31.48
2012-03-02,32,32.08
2012-03-09,31,31.99
2012-03-16,34,32.60
2012-03-23,28,32.01
2012-03-30,32,32.26
2012-04-06,25,
2012-04-13,29,30.81
2012-04-20,33,32.42
2012-04-27,25,31.98
2012-05-04,31,30.98
2012-05-11,29,31.16
2012-05-18,33,29.27
2012-05-25,29,29.06
2012-06-01,28,28.45
2012-06-08,27,29.65
2012-06-15,26,30.02
2012-06-22,30,30.70
2012-06-29,29,30.59
2012-07-06,26,30.19
2012-07-13,30,29.39
2012-07-20,28,30.12
2012-07-27,28,29.76
2012-08-03,32,29.75
2012-08-10,36,30.42
2012-08-17,34,30.90
2012-08-24,30,30.56
2012-08-31,33,30.82
2012-09-07,34,30.95
2012-09-14,31,31.21
2012-09-21,33,31.19
2012-09-28,35,29.76
2012-10-05,29,29.85
2012-10-12,27,29.20
2012-10-19,30,28.64
2012-10-26,30,28.21
2012-11-02,30,29.50
2012-11-09,26,28.83
2012-11-16,32,26.52
2012-11-23,25,27.70
2012-11-30,27,26.62
2012-12-07,24,26.46
2012-12-14,27,26.81
2012-12-21,25,27.45
2012-12-28,23,26.55
2013-01-04,26,26.74
2013-01-11,28,26.83
2013-01-18,27,27.25
2013-01-25,27,27.88
2013-02-01,28,27.93
2013-02-08,30,27.55
2013-02-15,28,28.01
2013-02-22,30,27.76
2013-03-01,26,27.95
2013-03-08,27,28.00
2013-03-15,26,28.04
2013-03-22,26,28.25
2013-03-29,24,
2013-04-05,28,28.70
2013-04-12,27,28.79
2013-04-19,30,29.77
2013-04-26,25,31.79
2013-05-03,29,33.49
2013-05-10,27,32.69
2013-05-17,25,34.87
2013-05-24,27,34.27
2013-05-31,21,34.90
2013-06-07,23,35.67
2013-06-14,26,34.40
2013-06-21,24,33.27
2013-06-28,23,34.54
2013-07-05,22,34.21
2013-07-12,21,35.67
2013-07-19,26,31.40
2013-07-26,23,31.62
2013-08-02,22,31.89
2013-08-09,24,32.70
2013-08-16,23,31.80
2013-08-23,24,34.75
2013-08-30,25,33.40
2013-09-06,30,31.15
2013-09-13,26,33.03
2013-09-20,30,32.79
2013-09-27,31,33.27
2013-10-04,30,33.88
2013-10-11,33,34.13
2013-10-18,36,34.96
2013-10-25,32,35.73
2013-11-01,35,35.53
2013-11-08,31,37.78
2013-11-15,38,37.84
2013-11-22,36,37.57
2013-11-29,33,38.13
2013-12-06,38,38.36
2013-12-13,29,36.69
2013-12-20,31,36.80
2013-12-27,28,37.29
2014-01-03,28,36.91
2014-01-10,33,36.04
2014-01-17,27,36.38
2014-01-24,28,36.81
2014-01-31,29,37.84
2014-02-07,33,36.56
2014-02-14,31,37.62
2014-02-21,31,37.98
2014-02-28,27,38.31
2014-03-07,25,37.90
2014-03-14,27,37.70
2014-03-21,25,40.16
2014-03-28,30,40.30
2014-04-04,23,39.87
2014-04-11,27,39.21
2014-04-18,25,
2014-04-25,27,39.91
2014-05-02, ,
