Date,Merck & Co.,Price
2010-07-02,18,34.22
2010-07-09,21,36.30
2010-07-16,19,35.91
2010-07-23,18,34.87
2010-07-30,17,34.46
2010-08-06,17,34.98
2010-08-13,17,35.00
2010-08-20,16,34.44
2010-08-27,17,35.00
2010-09-03,18,35.59
2010-09-10,18,36.65
2010-09-17,19,36.33
2010-09-24,20,37.34
2010-10-01,19,36.60
2010-10-08,19,36.91
2010-10-15,18,36.95
2010-10-22,18,37.10
2010-10-29,19,36.31
2010-11-05,17,35.70
2010-11-12,18,34.71
2010-11-19,19,35.33
2010-11-26,17,34.79
2010-12-03,18,35.30
2010-12-10,17,35.99
2010-12-17,16,36.48
2010-12-24,13,
2010-12-31,11,36.04
2011-01-07,16,37.35
2011-01-14,19,34.23
2011-01-21,18,33.90
2011-01-28,18,33.07
2011-02-04,19,32.89
2011-02-11,18,33.07
2011-02-18,18,32.85
2011-02-25,18,32.19
2011-03-04,18,33.06
2011-03-11,17,32.73
2011-03-18,16,31.91
2011-03-25,18,32.57
2011-04-01,18,33.07
2011-04-08,18,33.67
2011-04-15,19,34.51
2011-04-22,15,
2011-04-29,16,35.95
2011-05-06,16,36.39
2011-05-13,17,37.08
2011-05-20,17,37.06
2011-05-27,17,36.21
2011-06-03,15,35.82
2011-06-10,16,35.45
2011-06-17,15,35.39
2011-06-24,15,34.55
2011-07-01,15,35.60
2011-07-08,15,36.12
2011-07-15,15,35.93
2011-07-22,15,36.09
2011-07-29,16,34.13
2011-08-05,17,31.71
2011-08-12,15,31.34
2011-08-19,15,31.26
2011-08-26,14,31.92
2011-09-02,14,32.37
2011-09-09,14,31.84
2011-09-16,17,32.68
2011-09-23,17,31.05
2011-09-30,16,32.70
2011-10-07,15,31.61
2011-10-14,15,32.98
2011-10-21,16,33.35
2011-10-28,16,35.11
2011-11-04,15,34.02
2011-11-11,16,35.97
2011-11-18,17,34.95
2011-11-25,16,33.16
2011-12-02,16,35.48
2011-12-09,15,35.68
2011-12-16,13,36.25
2011-12-23,12,37.90
2011-12-30,9,37.70
2012-01-06,12,38.47
2012-01-13,15,38.32
2012-01-20,14,39.20
2012-01-27,15,38.52
2012-02-03,15,38.37
2012-02-10,15,37.91
2012-02-17,15,38.56
2012-02-24,15,38.20
2012-03-02,15,37.93
2012-03-09,15,37.60
2012-03-16,15,38.03
2012-03-23,15,38.01
2012-03-30,15,38.40
2012-04-06,13,
2012-04-13,13,37.78
2012-04-20,15,38.73
2012-04-27,17,38.46
2012-05-04,14,38.84
2012-05-11,14,38.03
2012-05-18,14,37.82
2012-05-25,15,37.55
2012-06-01,13,37.18
2012-06-08,14,38.46
2012-06-15,14,38.94
2012-06-22,14,40.18
2012-06-29,13,41.75
2012-07-06,13,41.51
2012-07-13,14,43.47
2012-07-20,14,43.41
2012-07-27,14,45.10
2012-08-03,12,44.15
2012-08-10,12,44.57
2012-08-17,13,43.34
2012-08-24,13,43.12
2012-08-31,14,43.05
2012-09-07,14,44.05
2012-09-14,15,43.62
2012-09-21,15,44.91
2012-09-28,15,45.10
2012-10-05,14,46.28
2012-10-12,14,45.62
2012-10-19,14,47.03
2012-10-26,14,46.15
2012-11-02,12,46.00
2012-11-09,14,44.05
2012-11-16,13,43.07
2012-11-23,12,44.28
2012-11-30,13,44.30
2012-12-07,12,44.63
2012-12-14,12,43.54
2012-12-21,11,41.52
2012-12-28,7,40.64
2013-01-04,9,41.97
2013-01-11,12,43.23
2013-01-18,13,42.98
2013-01-25,13,43.46
2013-02-01,14,41.83
2013-02-08,14,41.18
2013-02-15,12,41.42
2013-02-22,13,42.97
2013-03-01,13,42.63
2013-03-08,14,42.97
2013-03-15,13,44.09
2013-03-22,13,43.90
2013-03-29,12,
2013-04-05,12,45.13
2013-04-12,13,47.11
2013-04-19,13,47.49
2013-04-26,13,47.87
2013-05-03,12,45.67
2013-05-10,12,45.95
2013-05-17,13,45.99
2013-05-24,12,47.16
2013-05-31,12,46.70
2013-06-07,13,48.19
2013-06-14,12,47.95
2013-06-21,12,47.00
2013-06-28,11,46.45
2013-07-05,11,47.16
2013-07-12,12,48.54
2013-07-19,12,47.79
2013-07-26,12,48.49
2013-08-02,11,48.54
2013-08-09,11,48.39
2013-08-16,10,47.70
2013-08-23,11,47.73
2013-08-30,11,47.29
2013-09-06,11,47.49
2013-09-13,13,47.79
2013-09-20,12,48.01
2013-09-27,13,47.79
2013-10-04,16,48.23
2013-10-11,13,47.29
2013-10-18,12,46.61
2013-10-25,12,46.54
2013-11-01,12,45.23
2013-11-08,12,46.80
2013-11-15,12,48.07
2013-11-22,12,48.94
2013-11-29,11,49.83
2013-12-06,12,49.39
2013-12-13,11,48.38
2013-12-20,10,49.32
2013-12-27,7,49.79
2014-01-03,8,49.73
2014-01-10,12,49.88
2014-01-17,13,51.95
2014-01-24,12,51.98
2014-01-31,13,52.97
2014-02-07,12,54.77
2014-02-14,12,55.44
2014-02-21,12,56.03
2014-02-28,12,56.99
2014-03-07,12,57.47
2014-03-14,11,55.70
2014-03-21,12,54.66
2014-03-28,12,55.98
2014-04-04,12,56.12
2014-04-11,12,55.92
2014-04-18,11,
2014-04-25,11,57.24
2014-05-02,13,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
