Date,LEG,Price
2006-02-10,18,24.21
2006-02-17,18,24.29
2006-02-24,22,23.90
2006-03-03,18,23.85
2006-03-10,19,23.78
2006-03-17,18,24.78
2006-03-24,19,25.07
2006-03-31,19,24.37
2006-04-07,18,24.11
2006-04-14,21,
2006-04-21,20,25.80
2006-04-28,19,26.53
2006-05-05,19,26.76
2006-05-12,19,26.06
2006-05-19,20,25.34
2006-05-26,21,25.20
2006-06-02,19,25.60
2006-06-09,22,24.91
2006-06-16,20,25.01
2006-06-23,19,25.02
2006-06-30,19,24.98
2006-07-07,18,23.95
2006-07-14,20,23.01
2006-07-21,19,22.40
2006-07-28,19,23.35
2006-08-04,18,23.32
2006-08-11,18,22.74
2006-08-18,19,23.59
2006-08-25,18,22.70
2006-09-01,17,23.22
2006-09-08,17,23.64
2006-09-15,19,24.96
2006-09-22,19,24.48
2006-09-29,19,25.03
2006-10-06,18,25.13
2006-10-13,19,24.97
2006-10-20,19,23.15
2006-10-27,19,23.39
2006-11-03,17,22.83
2006-11-10,18,23.71
2006-11-17,17,24.35
2006-11-24,17,23.88
2006-12-01,17,23.69
2006-12-08,18,23.79
2006-12-15,19,23.62
2006-12-22,19,23.47
2006-12-29,20,23.90
2007-01-05,19,23.46
2007-01-12,18,23.84
2007-01-19,17,24.15
2007-01-26,18,23.42
2007-02-02,17,24.48
2007-02-09,17,24.13
2007-02-16,17,24.38
2007-02-23,17,24.24
2007-03-02,17,23.87
2007-03-09,18,23.81
2007-03-16,18,23.04
2007-03-23,18,23.38
2007-03-30,19,22.67
2007-04-06,20,
2007-04-13,20,23.08
2007-04-20,18,23.50
2007-04-27,19,23.84
2007-05-04,19,23.80
2007-05-11,18,23.64
2007-05-18,18,23.59
2007-05-25,18,24.29
2007-06-01,18,24.51
2007-06-08,18,23.92
2007-06-15,18,23.58
2007-06-22,18,21.60
2007-06-29,18,22.05
2007-07-06,19,22.50
2007-07-13,19,22.51
2007-07-20,20,21.94
2007-07-27,19,20.81
2007-08-03,18,20.45
2007-08-10,19,19.87
2007-08-17,19,19.96
2007-08-24,18,20.89
2007-08-31,19,20.40
2007-09-07,18,19.27
2007-09-14,18,19.55
2007-09-21,19,19.58
2007-09-28,19,19.16
2007-10-05,19,20.03
2007-10-12,21,19.42
2007-10-19,20,18.33
2007-10-26,20,18.99
2007-11-02,19,18.78
2007-11-09,19,18.19
2007-11-16,19,20.16
2007-11-23,20,20.25
2007-11-30,21,20.58
2007-12-07,20,20.35
2007-12-14,18,18.72
2007-12-21,18,17.64
2007-12-28,20,17.27
2008-01-04,20,16.32
2008-01-11,19,16.10
2008-01-18,19,16.14
2008-01-25,19,16.81
2008-02-01,18,19.22
2008-02-08,18,17.77
2008-02-15,17,17.58
2008-02-22,24,17.46
2008-02-29,32,16.70
2008-03-07,20,15.92
2008-03-14,19,15.05
2008-03-21,21,
2008-03-28,20,14.88
2008-04-04,19,15.68
2008-04-11,20,15.07
2008-04-18,19,16.85
2008-04-25,20,17.13
2008-05-02,20,16.88
2008-05-09,20,16.25
2008-05-16,19,17.50
2008-05-23,19,18.53
2008-05-30,18,19.10
2008-06-06,19,18.60
2008-06-13,19,18.00
2008-06-20,19,17.77
2008-06-27,20,17.21
2008-07-04,18,
2008-07-11,20,14.84
2008-07-18,20,18.03
2008-07-25,19,18.94
2008-08-01,20,19.84
2008-08-08,20,21.41
2008-08-15,22,21.40
2008-08-22,21,21.13
2008-08-29,20,22.31
2008-09-05,20,22.58
2008-09-12,20,23.45
2008-09-19,20,23.98
2008-09-26,20,22.28
2008-10-03,20,19.98
2008-10-10,20,17.65
2008-10-17,21,16.29
2008-10-24,21,15.71
2008-10-31,21,17.36
2008-11-07,19,16.30
2008-11-14,19,14.88
2008-11-21,19,13.13
2008-11-28,18,14.60
2008-12-05,18,14.94
2008-12-12,21,14.67
2008-12-19,21,14.76
2008-12-26,21,14.47
2009-01-02,21,15.68
2009-01-09,20,14.40
2009-01-16,20,13.78
2009-01-23,19,13.00
2009-01-30,19,12.49
2009-02-06,20,13.55
2009-02-13,20,12.84
2009-02-20,20,12.26
2009-02-27,21,11.43
2009-03-06,22,10.31
2009-03-13,21,11.98
2009-03-20,21,11.94
2009-03-27,21,13.78
2009-04-03,21,14.30
2009-04-10,24,
2009-04-17,23,15.00
2009-04-24,21,14.92
2009-05-01,21,14.51
2009-05-08,22,15.71
2009-05-15,21,14.69
2009-05-22,21,14.23
2009-05-29,20,14.68
2009-06-05,20,15.72
2009-06-12,20,15.50
2009-06-19,20,14.79
2009-06-26,19,14.89
2009-07-03,18,
2009-07-10,20,14.27
2009-07-17,20,15.77
2009-07-24,20,16.18
2009-07-31,20,17.35
2009-08-07,21,17.93
2009-08-14,20,17.40
2009-08-21,21,18.88
2009-08-28,20,18.54
2009-09-04,20,18.49
2009-09-11,20,18.64
2009-09-18,20,19.56
2009-09-25,20,18.81
2009-10-02,20,18.28
2009-10-09,20,18.89
2009-10-16,21,19.73
2009-10-23,20,20.82
2009-10-30,21,19.33
2009-11-06,19,19.44
2009-11-13,19,19.85
2009-11-20,18,19.53
2009-11-27,19,19.57
2009-12-04,19,20.03
2009-12-11,20,20.25
2009-12-18,18,19.97
2009-12-25,21,
2010-01-01,20,
2010-01-08,19,21.18
2010-01-15,19,20.99
2010-01-22,19,20.02
2010-01-29,19,18.26
2010-02-05,19,18.45
2010-02-12,18,18.78
2010-02-19,19,19.41
2010-02-26,20,18.95
2010-03-05,22,20.61
2010-03-12,19,21.29
2010-03-19,19,21.47
2010-03-26,19,21.61
2010-04-02,22,
2010-04-09,21,21.90
2010-04-16,19,22.07
2010-04-23,20,23.96
2010-04-30,21,24.53
2010-05-07,20,22.22
2010-05-14,20,24.08
2010-05-21,20,22.80
2010-05-28,20,23.28
2010-06-04,20,22.37
2010-06-11,20,22.74
2010-06-18,19,22.51
2010-06-25,19,21.46
2010-07-02,20,19.51
2010-07-09,21,20.64
2010-07-16,21,20.00
2010-07-23,20,21.37
2010-07-30,21,20.84
2010-08-06,21,21.07
2010-08-13,21,19.68
2010-08-20,21,19.58
2010-08-27,20,19.48
2010-09-03,19,21.04
2010-09-10,20,21.39
2010-09-17,23,21.60
2010-09-24,21,22.80
2010-10-01,20,23.02
2010-10-08,21,23.75
2010-10-15,21,23.80
2010-10-22,22,21.01
2010-10-29,21,20.38
2010-11-05,20,20.50
2010-11-12,20,20.12
2010-11-19,19,20.34
2010-11-26,19,20.53
2010-12-03,19,21.81
2010-12-10,19,22.18
2010-12-17,19,23.23
2010-12-24,21,
2010-12-31,21,22.76
2011-01-07,21,22.88
2011-01-14,20,22.95
2011-01-21,20,22.39
2011-01-28,20,22.62
2011-02-04,19,22.56
2011-02-11,20,23.63
2011-02-18,22,23.62
2011-02-25,20,22.93
2011-03-04,19,23.72
2011-03-11,22,23.22
2011-03-18,19,22.85
2011-03-25,21,23.75
2011-04-01,21,24.17
2011-04-08,21,23.20
2011-04-15,21,23.07
2011-04-22,23,
2011-04-29,23,26.29
2011-05-06,22,26.12
2011-05-13,21,25.97
2011-05-20,21,25.79
2011-05-27,21,25.59
2011-06-03,21,24.27
2011-06-10,21,23.28
2011-06-17,21,23.46
2011-06-24,21,22.88
2011-07-01,21,24.90
2011-07-08,20,24.23
2011-07-15,21,23.25
2011-07-22,21,23.50
2011-07-29,21,21.70
2011-08-05,21,19.30
2011-08-12,20,20.10
2011-08-19,22,19.33
2011-08-26,21,20.73
2011-09-02,21,21.49
2011-09-09,20,20.86
2011-09-16,21,21.56
2011-09-23,20,19.69
2011-09-30,21,19.79
2011-10-07,21,20.65
2011-10-14,21,22.03
2011-10-21,22,23.04
2011-10-28,21,22.40
2011-11-04,19,21.85
2011-11-11,20,22.65
2011-11-18,21,21.87
2011-11-25,20,20.48
2011-12-02,21,22.41
2011-12-09,22,23.10
2011-12-16,21,21.77
2011-12-23,21,23.67
2011-12-30,22,23.04
2012-01-06,21,22.76
2012-01-13,21,22.49
2012-01-20,21,23.18
2012-01-27,22,22.67
2012-02-03,22,23.22
2012-02-10,22,21.36
2012-02-17,23,21.95
2012-02-24,23,22.59
2012-03-02,30,21.97
2012-03-09,24,22.42
2012-03-16,23,23.26
2012-03-23,24,22.40
2012-03-30,24,23.01
2012-04-06,27,
2012-04-13,25,22.32
2012-04-20,24,23.07
2012-04-27,26,21.99
2012-05-04,24,21.49
2012-05-11,23,20.83
2012-05-18,23,19.89
2012-05-25,23,20.72
2012-06-01,23,20.30
2012-06-08,24,20.84
2012-06-15,24,20.55
2012-06-22,24,19.88
2012-06-29,24,21.13
2012-07-06,23,21.04
2012-07-13,24,21.36
2012-07-20,24,21.60
2012-07-27,24,22.63
2012-08-03,24,23.08
2012-08-10,28,23.12
2012-08-17,25,23.87
2012-08-24,26,23.89
2012-08-31,26,23.74
2012-09-07,25,24.23
2012-09-14,25,25.00
2012-09-21,24,25.10
2012-09-28,24,25.05
2012-10-05,25,25.09
2012-10-12,23,24.71
2012-10-19,24,25.86
2012-10-26,25,25.40
2012-11-02,23,27.19
2012-11-09,22,26.72
2012-11-16,23,26.56
2012-11-23,23,27.43
2012-11-30,24,27.85
2012-12-07,24,26.86
2012-12-14,23,26.36
2012-12-21,22,26.83
2012-12-28,25,26.44
2013-01-04,26,28.02
2013-01-11,24,28.00
2013-01-18,23,28.55
2013-01-25,24,29.57
2013-02-01,24,29.57
2013-02-08,24,29.74
2013-02-15,24,30.70
2013-02-22,24,29.78
2013-03-01,25,30.67
2013-03-08,26,31.89
2013-03-15,26,32.22
2013-03-22,25,32.84
2013-03-29,27,
2013-04-05,100,32.63
2013-04-12,34,33.79
2013-04-19,28,32.48
2013-04-26,27,32.58
2013-05-03,29,32.84
2013-05-10,26,33.48
2013-05-17,25,34.19
2013-05-24,29,33.00
2013-05-31,25,32.00
2013-06-07,26,31.86
2013-06-14,26,32.28
2013-06-21,26,30.58
2013-06-28,25,31.09
2013-07-05,25,31.27
2013-07-12,26,32.27
2013-07-19,27,31.94
2013-07-26,26,30.71
2013-08-02,27,31.92
2013-08-09,29,30.91
2013-08-16,27,30.26
2013-08-23,27,29.67
2013-08-30,26,28.92
2013-09-06,26,29.39
2013-09-13,26,30.65
2013-09-20,26,30.55
2013-09-27,26,30.36
2013-10-04,25,29.60
2013-10-11,26,29.70
2013-10-18,27,29.30
2013-10-25,26,30.35
2013-11-01,26,29.50
2013-11-08,26,29.38
2013-11-15,27,29.82
2013-11-22,27,30.07
2013-11-29,26,30.21
2013-12-06,25,29.66
2013-12-13,25,29.15
2013-12-20,25,30.55
2013-12-27,27,31.06
2014-01-03,81,30.71
2014-01-10,30,30.38
2014-01-17,28,29.75
2014-01-24,30,29.78
2014-01-31,29,30.02
2014-02-07,27,30.36
2014-02-14,27,31.09
2014-02-21,28,31.39
2014-02-28,29,32.05
2014-03-07,28,32.09
2014-03-14,29,31.47
2014-03-21,28,31.95
2014-03-28,27,32.23
2014-04-04,30,32.57
2014-04-11,30,31.96
2014-04-18,31,
2014-04-25,32,31.97
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
