Date,AMP,Price
2011-02-18,52,64.73
2011-02-25,51,63.52
2011-03-04,51,63.27
2011-03-11,51,62.18
2011-03-18,48,61.22
2011-03-25,50,60.86
2011-04-01,52,62.48
2011-04-08,52,62.93
2011-04-15,52,61.61
2011-04-22,49,
2011-04-29,50,62.06
2011-05-06,50,61.20
2011-05-13,51,62.40
2011-05-20,52,62.17
2011-05-27,51,60.37
2011-06-03,51,58.23
2011-06-10,49,56.04
2011-06-17,51,56.66
2011-06-24,50,55.40
2011-07-01,47,58.39
2011-07-08,48,58.14
2011-07-15,51,54.05
2011-07-22,49,55.38
2011-07-29,50,54.10
2011-08-05,48,47.18
2011-08-12,49,44.21
2011-08-19,49,39.04
2011-08-26,48,43.45
2011-09-02,48,42.37
2011-09-09,48,41.73
2011-09-16,48,45.07
2011-09-23,49,39.77
2011-09-30,47,39.36
2011-10-07,47,39.06
2011-10-14,46,42.88
2011-10-21,47,43.46
2011-10-28,47,48.74
2011-11-04,48,46.26
2011-11-11,48,47.22
2011-11-18,48,44.21
2011-11-25,47,41.51
2011-12-02,49,45.98
2011-12-09,50,47.10
2011-12-16,49,46.55
2011-12-23,46,50.61
2011-12-30,49,49.64
2012-01-06,47,51.09
2012-01-13,50,51.40
2012-01-20,48,54.68
2012-01-27,50,53.67
2012-02-03,50,53.65
2012-02-10,50,54.19
2012-02-17,49,56.54
2012-02-24,50,56.41
2012-03-02,50,55.84
2012-03-09,48,56.08
2012-03-16,49,57.72
2012-03-23,48,57.10
2012-03-30,49,57.13
2012-04-06,49,
2012-04-13,48,53.13
2012-04-20,51,53.45
2012-04-27,50,54.08
2012-05-04,51,52.00
2012-05-11,47,50.47
2012-05-18,47,46.41
2012-05-25,48,47.78
2012-06-01,47,45.81
2012-06-08,48,48.53
2012-06-15,47,49.75
2012-06-22,49,50.82
2012-06-29,47,52.26
2012-07-06,46,50.96
2012-07-13,49,51.11
2012-07-20,48,50.30
2012-07-27,49,52.53
2012-08-03,48,52.63
2012-08-10,48,54.50
2012-08-17,48,55.30
2012-08-24,48,55.18
2012-08-31,48,54.91
2012-09-07,48,56.47
2012-09-14,47,59.20
2012-09-21,47,57.60
2012-09-28,47,56.69
2012-10-05,47,57.83
2012-10-12,46,55.96
2012-10-19,45,57.80
2012-10-26,47,59.30
2012-11-02,46,60.12
2012-11-09,46,58.05
2012-11-16,46,58.38
2012-11-23,45,61.00
2012-11-30,47,60.67
2012-12-07,46,62.35
2012-12-14,45,61.22
2012-12-21,45,62.67
2012-12-28,45,62.19
2013-01-04,45,65.95
2013-01-11,46,65.07
2013-01-18,46,65.90
2013-01-25,47,67.38
2013-02-01,47,67.15
2013-02-08,46,66.49
2013-02-15,47,68.77
2013-02-22,46,67.93
2013-03-01,46,68.08
2013-03-08,48,72.09
2013-03-15,47,74.33
2013-03-22,46,73.65
2013-03-29,47,
2013-04-05,45,71.48
2013-04-12,46,74.73
2013-04-19,46,72.18
2013-04-26,46,73.48
2013-05-03,47,75.80
2013-05-10,46,78.20
2013-05-17,46,81.69
2013-05-24,46,80.20
2013-05-31,45,81.52
2013-06-07,47,83.07
2013-06-14,45,81.86
2013-06-21,46,79.16
2013-06-28,46,80.88
2013-07-05,46,83.10
2013-07-12,46,86.60
2013-07-19,47,86.31
2013-07-26,45,88.18
2013-08-02,45,91.21
2013-08-09,45,90.08
2013-08-16,46,88.23
2013-08-23,45,89.03
2013-08-30,46,86.15
2013-09-06,44,87.59
2013-09-13,45,90.80
2013-09-20,43,92.22
2013-09-27,44,91.43
2013-10-04,44,92.89
2013-10-11,45,94.30
2013-10-18,44,99.75
2013-10-25,45,99.56
2013-11-01,45,101.06
2013-11-08,44,103.12
2013-11-15,46,105.47
2013-11-22,45,107.58
2013-11-29,47,108.25
2013-12-06,46,108.99
