Date,ALLE,Price
2012-10-19,72,
2012-10-26,73,
2012-11-02,74,
2012-11-09,76,
2012-11-16,76,
2012-11-23,80,
2012-11-30,75,
2012-12-07,73,
2012-12-14,74,
2012-12-21,73,
2012-12-28,76,
2013-01-04,80,
2013-01-11,77,
2013-01-18,77,
2013-01-25,76,
2013-02-01,75,
2013-02-08,75,
2013-02-15,77,
2013-02-22,77,
2013-03-01,84,
2013-03-08,73,
2013-03-15,73,
2013-03-22,71,
2013-03-29,74,
2013-04-05,71,
2013-04-12,74,
2013-04-19,71,
2013-04-26,72,
2013-05-03,71,
2013-05-10,72,
2013-05-17,71,
2013-05-24,74,
2013-05-31,76,
2013-06-07,71,
2013-06-14,72,
2013-06-21,69,
2013-06-28,69,
2013-07-05,70,
2013-07-12,65,
2013-07-19,63,
2013-07-26,63,
2013-08-02,62,
2013-08-09,64,
2013-08-16,65,
2013-08-23,67,
2013-08-30,69,
2013-09-06,67,
2013-09-13,71,
2013-09-20,72,
2013-09-27,70,
2013-10-04,70,
2013-10-11,71,
2013-10-18,71,
2013-10-25,73,
2013-11-01,74,
2013-11-08,72,
2013-11-15,73,
2013-11-22,72,43.99
2013-11-29,74,43.24
2013-12-06,73,40.70
2013-12-13,73,43.25
2013-12-20,73,44.26
2013-12-27,75,44.64
2014-01-03,76,43.96
2014-01-10,77,45.73
2014-01-17,77,48.00
2014-01-24,75,46.84
2014-01-31,76,49.35
2014-02-07,76,49.94
2014-02-14,75,49.63
2014-02-21,76,52.37
2014-02-28,72,54.35
2014-03-07,71,53.39
2014-03-14,70,53.30
2014-03-21,74,53.81
2014-03-28,74,52.16
2014-04-04,71,53.73
2014-04-11,74,50.01
2014-04-18,78,
2014-04-25,73,49.54
2014-05-02,79,
