Date,BBT,Price
2010-04-23,46,34.28
2010-04-30,46,33.24
2010-05-07,42,32.24
2010-05-14,48,34.05
2010-05-21,47,31.36
2010-05-28,48,30.24
2010-06-04,50,29.23
2010-06-11,51,30.21
2010-06-18,47,29.57
2010-06-25,50,28.76
2010-07-02,54,26.02
2010-07-09,55,28.18
2010-07-16,56,26.38
2010-07-23,58,25.54
2010-07-30,58,24.83
2010-08-06,62,25.20
2010-08-13,58,23.83
2010-08-20,60,23.11
2010-08-27,60,22.72
2010-09-03,63,23.56
2010-09-10,59,23.65
2010-09-17,63,23.03
2010-09-24,68,24.51
2010-10-01,66,24.37
2010-10-08,64,23.58
2010-10-15,63,22.64
2010-10-22,63,22.62
2010-10-29,63,23.41
2010-11-05,69,25.58
2010-11-12,66,24.82
2010-11-19,68,24.48
2010-11-26,58,23.34
2010-12-03,65,24.71
2010-12-10,64,27.15
2010-12-17,63,26.16
2010-12-24,66,
2010-12-31,69,26.29
2011-01-07,72,26.33
2011-01-14,64,27.78
2011-01-21,63,28.39
2011-01-28,66,27.26
2011-02-04,71,28.44
2011-02-11,69,29.12
2011-02-18,69,28.41
2011-02-25,68,27.65
2011-03-04,72,26.37
2011-03-11,66,27.10
2011-03-18,66,27.01
2011-03-25,70,27.07
2011-04-01,70,27.62
2011-04-08,70,27.23
2011-04-15,71,26.53
2011-04-22,75,
2011-04-29,69,26.92
2011-05-06,71,26.98
2011-05-13,70,26.63
2011-05-20,71,26.56
2011-05-27,74,27.30
2011-06-03,74,26.12
2011-06-10,70,25.83
2011-06-17,76,26.19
2011-06-24,75,25.45
2011-07-01,73,27.34
2011-07-08,70,26.09
2011-07-15,75,25.32
2011-07-22,72,26.18
2011-07-29,74,25.68
2011-08-05,77,23.31
2011-08-12,79,20.54
2011-08-19,77,19.27
2011-08-26,72,20.74
2011-09-02,75,20.91
2011-09-09,74,20.90
2011-09-16,76,22.67
2011-09-23,76,20.86
2011-09-30,78,21.33
2011-10-07,78,20.93
2011-10-14,83,22.54
2011-10-21,81,23.05
2011-10-28,76,23.91
2011-11-04,76,23.37
2011-11-11,78,23.58
2011-11-18,75,22.68
2011-11-25,71,21.17
2011-12-02,77,23.40
2011-12-09,78,23.79
2011-12-16,82,24.05
