Date,ADP,Price
2005-07-08,46,41.97
2005-07-15,46,42.84
2005-07-22,48,43.94
2005-07-29,48,44.41
2005-08-05,46,43.99
2005-08-12,45,44.52
2005-08-19,43,43.99
2005-08-26,48,43.39
2005-09-02,50,42.47
2005-09-09,38,42.68
2005-09-16,42,41.70
2005-09-23,45,42.07
2005-09-30,43,43.04
2005-10-07,45,43.15
2005-10-14,42,43.11
2005-10-21,39,42.69
2005-10-28,42,46.84
2005-11-04,42,46.57
2005-11-11,41,47.43
2005-11-18,40,47.70
2005-11-25,37,47.03
2005-12-02,41,47.31
2005-12-09,42,46.66
2005-12-16,47,46.60
2005-12-23,45,46.50
2005-12-30,48,45.90
2006-01-06,48,46.49
2006-01-13,47,45.75
2006-01-20,47,45.31
2006-01-27,47,44.77
2006-02-03,50,44.00
2006-02-10,47,45.70
2006-02-17,43,44.84
2006-02-24,43,44.89
2006-03-03,45,46.28
2006-03-10,44,47.69
2006-03-17,42,47.16
2006-03-24,42,46.75
2006-03-31,47,45.68
2006-04-07,46,46.46
2006-04-14,46,
2006-04-21,45,45.71
2006-04-28,48,44.08
2006-05-05,43,44.48
2006-05-12,38,44.00
2006-05-19,39,45.41
2006-05-26,40,45.98
2006-06-02,47,45.75
2006-06-09,52,44.59
2006-06-16,58,44.90
2006-06-23,56,44.29
2006-06-30,55,45.35
2006-07-07,53,44.01
2006-07-14,49,43.03
2006-07-21,51,42.71
2006-07-28,50,43.91
2006-08-04,51,46.11
2006-08-11,50,46.11
2006-08-18,49,47.28
2006-08-25,46,46.60
2006-09-01,55,48.00
2006-09-08,45,47.42
2006-09-15,42,47.37
2006-09-22,46,46.83
2006-09-29,42,47.34
2006-10-06,44,47.47
2006-10-13,42,46.49
2006-10-20,46,47.42
2006-10-27,44,47.66
2006-11-03,46,47.99
2006-11-10,46,48.66
2006-11-17,43,49.65
2006-11-24,42,49.38
2006-12-01,44,47.87
2006-12-08,42,47.94
2006-12-15,41,49.64
2006-12-22,46,49.01
2006-12-29,46,49.25
2007-01-05,49,48.76
2007-01-12,50,48.70
2007-01-19,51,47.91
2007-01-26,54,47.13
2007-02-02,50,49.00
2007-02-09,42,48.81
2007-02-16,46,50.96
2007-02-23,45,51.18
2007-03-02,47,48.68
2007-03-09,44,48.77
2007-03-16,47,48.13
2007-03-23,44,50.76
2007-03-30,47,48.40
2007-04-06,50,
2007-04-13,51,44.72
2007-04-20,47,44.76
2007-04-27,44,45.17
2007-05-04,45,46.50
2007-05-11,40,48.12
2007-05-18,44,48.63
2007-05-25,45,49.23
2007-06-01,47,49.79
2007-06-08,45,48.41
2007-06-15,42,49.16
2007-06-22,43,48.40
2007-06-29,46,48.47
2007-07-06,44,48.93
2007-07-13,48,48.98
2007-07-20,46,47.95
2007-07-27,45,45.45
2007-08-03,48,47.56
2007-08-10,47,48.42
2007-08-17,47,47.04
2007-08-24,46,46.65
2007-08-31,51,45.74
2007-09-07,44,44.73
2007-09-14,42,44.47
2007-09-21,44,46.35
2007-09-28,42,45.93
2007-10-05,42,47.97
2007-10-12,41,48.25
2007-10-19,44,47.52
2007-10-26,45,46.57
2007-11-02,47,48.67
2007-11-09,41,46.73
2007-11-16,43,47.16
2007-11-23,43,45.73
2007-11-30,48,45.06
2007-12-07,49,45.55
2007-12-14,42,44.94
2007-12-21,49,44.97
2007-12-28,44,44.71
2008-01-04,52,41.00
2008-01-11,51,41.08
2008-01-18,53,39.55
2008-01-25,53,38.75
2008-02-01,54,39.97
2008-02-08,47,37.90
2008-02-15,54,39.74
2008-02-22,44,40.71
2008-02-29,45,39.95
2008-03-07,46,39.21
2008-03-14,48,39.37
2008-03-21,45,
2008-03-28,45,41.79
2008-04-04,48,43.89
2008-04-11,44,41.98
2008-04-18,47,43.82
2008-04-25,44,44.08
2008-05-02,44,43.09
2008-05-09,41,43.10
2008-05-16,40,43.87
2008-05-23,41,41.81
2008-05-30,42,43.05
2008-06-06,42,42.39
2008-06-13,45,43.14
2008-06-20,44,42.60
2008-06-27,44,41.64
2008-07-04,47,
2008-07-11,47,41.47
2008-07-18,47,42.60
2008-07-25,47,41.09
2008-08-01,52,42.95
2008-08-08,45,45.01
2008-08-15,46,45.71
2008-08-22,46,45.13
2008-08-29,50,44.38
2008-09-05,43,44.16
2008-09-12,41,45.27
2008-09-19,43,44.62
2008-09-26,42,43.73
2008-10-03,45,41.28
2008-10-10,43,33.51
2008-10-17,44,33.77
2008-10-24,41,32.63
2008-10-31,43,34.95
2008-11-07,43,35.43
2008-11-14,43,35.12
2008-11-21,40,35.25
2008-11-28,39,41.06
2008-12-05,44,37.59
2008-12-12,43,38.27
2008-12-19,46,37.60
2008-12-26,39,38.14
2009-01-02,50,40.41
2009-01-09,58,38.61
2009-01-16,55,39.42
2009-01-23,56,37.09
2009-01-30,59,36.33
2009-02-06,51,39.57
2009-02-13,49,37.17
2009-02-20,47,35.87
2009-02-27,47,34.15
2009-03-06,46,33.28
2009-03-13,47,35.36
2009-03-20,45,36.30
2009-03-27,45,35.50
2009-04-03,47,36.67
2009-04-10,44,
2009-04-17,44,36.11
2009-04-24,44,35.35
2009-05-01,43,35.52
2009-05-08,43,36.84
2009-05-15,41,35.79
2009-05-22,39,35.97
2009-05-29,37,38.01
2009-06-05,43,38.55
2009-06-12,39,37.29
2009-06-19,41,35.68
2009-06-26,40,34.69
2009-07-03,44,
2009-07-10,42,33.73
2009-07-17,44,35.31
2009-07-24,43,36.93
2009-07-31,46,37.25
2009-08-07,43,38.37
2009-08-14,45,38.48
2009-08-21,45,39.07
2009-08-28,45,38.56
2009-09-04,45,38.57
2009-09-11,38,38.40
2009-09-18,40,39.39
2009-09-25,41,38.91
2009-10-02,41,38.79
2009-10-09,39,40.17
2009-10-16,43,40.62
2009-10-23,39,40.37
2009-10-30,41,39.80
2009-11-06,42,42.32
2009-11-13,42,43.51
2009-11-20,41,43.45
2009-11-27,37,43.53
2009-12-04,44,43.69
2009-12-11,40,43.04
2009-12-18,50,42.36
2009-12-25,44,
2010-01-01,48,
2010-01-08,60,42.42
2010-01-15,62,42.27
2010-01-22,58,41.17
2010-01-29,55,40.79
2010-02-05,49,40.28
2010-02-12,47,40.59
2010-02-19,44,41.56
2010-02-26,50,41.61
2010-03-05,47,43.18
2010-03-12,43,43.81
2010-03-19,43,44.60
2010-03-26,43,44.24
2010-04-02,46,
2010-04-09,42,44.26
2010-04-16,69,44.29
2010-04-23,70,45.48
2010-04-30,44,43.37
2010-05-07,42,41.56
2010-05-14,47,41.80
2010-05-21,41,40.62
2010-05-28,41,40.88
2010-06-04,38,40.46
2010-06-11,40,41.83
2010-06-18,42,42.28
2010-06-25,44,40.86
2010-07-02,49,39.43
2010-07-09,44,40.72
2010-07-16,48,40.63
2010-07-23,51,41.89
2010-07-30,49,41.27
2010-08-06,50,41.57
2010-08-13,46,39.79
2010-08-20,47,39.40
2010-08-27,50,39.36
2010-09-03,50,40.08
2010-09-10,45,40.10
2010-09-17,43,41.33
2010-09-24,46,42.64
2010-10-01,48,41.82
2010-10-08,46,42.10
2010-10-15,48,42.94
2010-10-22,50,43.80
2010-10-29,48,44.49
2010-11-05,48,45.84
2010-11-12,45,45.42
2010-11-19,46,45.39
2010-11-26,40,45.48
2010-12-03,50,46.73
2010-12-10,50,46.53
2010-12-17,52,46.86
2010-12-24,69,
2010-12-31,52,46.28
2011-01-07,64,48.11
2011-01-14,63,48.75
2011-01-21,66,49.04
2011-01-28,66,47.89
2011-02-04,55,49.34
2011-02-11,49,49.73
2011-02-18,47,49.94
2011-02-25,47,49.61
2011-03-04,50,50.33
2011-03-11,47,50.41
2011-03-18,47,49.31
2011-03-25,48,50.37
2011-04-01,50,51.68
2011-04-08,47,52.45
2011-04-15,50,52.12
2011-04-22,47,
2011-04-29,49,54.36
2011-05-06,46,53.59
2011-05-13,48,54.01
2011-05-20,45,54.17
2011-05-27,47,54.13
2011-06-03,47,53.28
2011-06-10,45,51.94
2011-06-17,49,51.67
2011-06-24,45,51.22
2011-07-01,49,53.89
2011-07-08,46,54.50
2011-07-15,51,53.11
2011-07-22,48,53.23
2011-07-29,54,51.49
2011-08-05,51,48.40
2011-08-12,48,47.27
2011-08-19,49,46.32
2011-08-26,49,48.68
2011-09-02,51,48.51
2011-09-09,45,47.62
2011-09-16,47,50.76
2011-09-23,47,46.96
2011-09-30,48,47.15
2011-10-07,45,48.86
2011-10-14,46,51.72
2011-10-21,48,52.25
2011-10-28,48,52.60
2011-11-04,48,51.63
2011-11-11,47,52.16
2011-11-18,50,49.89
2011-11-25,43,47.93
2011-12-02,52,51.30
2011-12-09,48,52.48
2011-12-16,53,51.73
2011-12-23,52,54.33
2011-12-30,50,54.01
2012-01-06,60,54.88
2012-01-13,68,54.95
2012-01-20,74,56.79
2012-01-27,70,55.34
2012-02-03,61,55.51
2012-02-10,54,54.01
2012-02-17,53,54.25
2012-02-24,50,53.82
2012-03-02,51,54.44
2012-03-09,51,54.95
2012-03-16,51,55.10
2012-03-23,49,54.99
2012-03-30,53,55.19
2012-04-06,50,
2012-04-13,51,54.49
2012-04-20,54,55.02
2012-04-27,50,55.82
2012-05-04,53,53.56
2012-05-11,47,53.70
2012-05-18,49,51.99
2012-05-25,51,52.68
2012-06-01,49,50.92
2012-06-08,53,53.68
2012-06-15,52,55.04
2012-06-22,50,54.70
2012-06-29,56,55.66
2012-07-06,51,55.43
2012-07-13,58,55.84
2012-07-20,53,56.10
2012-07-27,57,57.60
2012-08-03,57,56.93
2012-08-10,53,57.61
2012-08-17,60,58.51
2012-08-24,61,58.42
2012-08-31,60,58.08
2012-09-07,58,59.25
2012-09-14,58,58.45
2012-09-21,62,58.64
2012-09-28,62,58.66
2012-10-05,59,59.53
2012-10-12,64,58.32
2012-10-19,60,58.42
2012-10-26,56,58.19
2012-11-02,60,57.37
2012-11-09,54,55.30
2012-11-16,61,54.74
2012-11-23,50,56.12
2012-11-30,61,56.74
2012-12-07,59,57.31
2012-12-14,59,57.40
2012-12-21,62,57.58
2012-12-28,54,56.33
2013-01-04,72,59.14
2013-01-11,77,59.42
2013-01-18,87,59.72
2013-01-25,85,59.89
2013-02-01,76,60.65
2013-02-08,65,60.93
2013-02-15,63,61.22
2013-02-22,59,61.01
2013-03-01,63,61.65
2013-03-08,63,63.35
2013-03-15,67,64.48
2013-03-22,61,64.08
2013-03-29,62,
2013-04-05,58,63.77
2013-04-12,61,65.91
2013-04-19,62,65.23
2013-04-26,58,66.59
2013-05-03,63,69.23
2013-05-10,56,70.03
2013-05-17,59,71.99
2013-05-24,56,69.85
2013-05-31,58,68.72
2013-06-07,61,68.91
2013-06-14,64,68.01
2013-06-21,61,68.68
2013-06-28,65,68.86
2013-07-05,58,70.75
2013-07-12,63,73.41
2013-07-19,65,72.88
2013-07-26,64,72.48
2013-08-02,66,71.58
2013-08-09,63,72.46
2013-08-16,65,71.89
2013-08-23,66,72.28
2013-08-30,69,71.16
2013-09-06,63,73.13
2013-09-13,62,74.09
2013-09-20,60,74.43
2013-09-27,64,72.56
2013-10-04,66,71.52
2013-10-11,66,72.51
2013-10-18,66,74.19
2013-10-25,66,75.51
2013-11-01,70,75.31
2013-11-08,68,76.01
2013-11-15,73,77.33
2013-11-22,69,80.01
2013-11-29,62,80.02
2013-12-06,73,79.66
2013-12-13,73,77.02
2013-12-20,75,79.97
2013-12-27,64,80.72
2014-01-03,80,80.73
2014-01-10,89,80.35
2014-01-17,100,79.97
2014-01-24,98,76.97
2014-01-31,95,76.60
2014-02-07,78,74.89
2014-02-14,75,76.27
2014-02-21,69,76.20
2014-02-28,77,77.78
2014-03-07,72,78.56
2014-03-14,72,77.55
2014-03-21,69,77.75
2014-03-28,72,76.95
2014-04-04,74,75.82
2014-04-11,71,73.73
2014-04-18,73,
2014-04-25,70,75.66
2014-05-02,61,
