Date,McCormick & Co.,Price
2013-09-13,26,67.79
2013-09-20,27,68.91
2013-09-27,26,65.40
2013-10-04,26,64.66
2013-10-11,27,66.28
2013-10-18,26,67.92
2013-10-25,28,69.15
2013-11-01,27,68.71
2013-11-08,28,69.10
2013-11-15,29,70.09
2013-11-22,28,69.36
2013-11-29,28,69.00
2013-12-06,25,69.37
2013-12-13,26,67.66
2013-12-20,27,68.61
2013-12-27,26,68.76
2014-01-03,27,68.55
2014-01-10,26,69.45
2014-01-17,28,68.95
2014-01-24,27,68.99
2014-01-31,29,64.18
2014-02-07,27,63.04
2014-02-14,34,65.50
2014-02-21,27,65.97
2014-02-28,27,66.40
2014-03-07,27,66.99
2014-03-14,27,67.65
2014-03-21,29,67.54
2014-03-28,27,71.32
2014-04-04,26,70.29
2014-04-11,27,70.00
2014-04-18,29,
2014-04-25,27,71.15
2014-05-02,28,
