Date,BMS,Price
2011-03-18,34,31.76
2011-03-25,36,32.25
2011-04-01,38,33.11
2011-04-08,36,32.41
2011-04-15,36,32.05
2011-04-22,34,
2011-04-29,35,31.34
2011-05-06,34,32.05
2011-05-13,38,32.57
2011-05-20,36,33.01
2011-05-27,39,32.95
2011-06-03,41,31.56
2011-06-10,43,32.61
2011-06-17,40,31.74
2011-06-24,41,32.11
2011-07-01,38,34.06
2011-07-08,39,33.93
2011-07-15,38,34.21
2011-07-22,41,33.95
2011-07-29,40,31.60
2011-08-05,39,30.40
2011-08-12,36,29.54
2011-08-19,37,28.60
2011-08-26,39,29.61
2011-09-02,36,29.94
2011-09-09,39,29.50
2011-09-16,40,31.25
2011-09-23,52,29.34
2011-09-30,46,29.31
2011-10-07,45,29.62
2011-10-14,43,30.97
2011-10-21,46,31.58
2011-10-28,45,28.50
2011-11-04,44,28.68
2011-11-11,44,28.86
2011-11-18,43,27.98
2011-11-25,42,27.62
2011-12-02,49,29.14
2011-12-09,44,29.71
2011-12-16,40,29.29
2011-12-23,38,29.94
2011-12-30,31,30.08
2012-01-06,40,30.39
2012-01-13,42,29.89
2012-01-20,40,29.99
2012-01-27,41,31.58
2012-02-03,39,31.71
2012-02-10,41,31.57
2012-02-17,41,31.97
2012-02-24,43,31.10
2012-03-02,39,31.46
2012-03-09,40,31.77
2012-03-16,39,31.76
2012-03-23,37,31.62
2012-03-30,38,32.29
2012-04-06,39,
2012-04-13,38,31.18
2012-04-20,39,32.10
2012-04-27,39,32.44
2012-05-04,36,31.24
2012-05-11,36,31.53
2012-05-18,36,29.91
2012-05-25,40,30.39
2012-06-01,41,30.11
2012-06-08,42,31.74
2012-06-15,41,32.16
2012-06-22,39,31.65
2012-06-29,37,31.34
2012-07-06,36,30.80
2012-07-13,38,30.15
2012-07-20,37,31.13
2012-07-27,38,30.90
2012-08-03,37,30.45
2012-08-10,37,30.28
2012-08-17,36,30.78
2012-08-24,36,30.40
2012-08-31,40,30.26
2012-09-07,39,30.67
2012-09-14,39,31.34
2012-09-21,40,31.77
2012-09-28,37,31.47
2012-10-05,38,31.97
2012-10-12,38,31.69
2012-10-19,35,32.42
2012-10-26,35,33.09
2012-11-02,35,33.46
2012-11-09,37,33.01
2012-11-16,36,32.36
2012-11-23,35,33.66
2012-11-30,37,33.60
2012-12-07,34,33.28
2012-12-14,34,32.61
2012-12-21,34,33.15
2012-12-28,28,33.01
2013-01-04,35,34.06
2013-01-11,40,34.64
2013-01-18,39,35.90
2013-01-25,39,35.76
2013-02-01,39,36.34
2013-02-08,38,36.56
2013-02-15,38,37.11
2013-02-22,37,37.21
2013-03-01,39,37.48
2013-03-08,38,38.41
2013-03-15,41,39.02
2013-03-22,39,39.06
2013-03-29,41,
2013-04-05,39,39.90
2013-04-12,39,40.11
