Date,ED,Price
2010-08-27,55,47.88
2010-09-03,54,48.44
2010-09-10,54,47.69
2010-09-17,56,47.92
2010-09-24,57,48.79
2010-10-01,63,48.33
2010-10-08,54,48.27
2010-10-15,53,48.60
2010-10-22,54,49.12
2010-10-29,53,49.72
2010-11-05,55,51.00
2010-11-12,53,49.74
2010-11-19,55,48.63
2010-11-26,51,48.18
2010-12-03,55,49.02
2010-12-10,56,48.88
2010-12-17,53,49.34
2010-12-24,48,
2010-12-31,49,49.57
2011-01-07,55,49.54
2011-01-14,56,49.83
2011-01-21,55,49.87
2011-01-28,56,50.07
2011-02-04,51,49.59
2011-02-11,54,50.10
2011-02-18,54,49.02
2011-02-25,52,49.41
2011-03-04,53,49.71
2011-03-11,53,50.27
2011-03-18,51,49.51
2011-03-25,52,50.01
2011-04-01,53,51.05
2011-04-08,53,50.90
2011-04-15,53,50.71
2011-04-22,51,
2011-04-29,52,52.12
2011-05-06,51,53.10
2011-05-13,54,54.12
2011-05-20,56,53.91
2011-05-27,60,52.73
2011-06-03,52,52.32
2011-06-10,52,51.83
2011-06-17,54,52.78
2011-06-24,58,52.40
2011-07-01,57,54.06
2011-07-08,54,53.56
2011-07-15,56,53.25
2011-07-22,55,53.58
2011-07-29,54,52.60
2011-08-05,55,53.27
2011-08-12,56,53.73
2011-08-19,55,54.36
2011-08-26,56,55.59
2011-09-02,55,56.07
2011-09-09,54,55.12
2011-09-16,60,57.42
2011-09-23,57,56.74
2011-09-30,57,57.02
2011-10-07,56,56.11
2011-10-14,54,57.55
2011-10-21,59,59.76
2011-10-28,60,58.04
2011-11-04,59,58.56
2011-11-11,58,59.64
2011-11-18,59,58.14
2011-11-25,56,57.16
2011-12-02,58,58.61
2011-12-09,58,59.24
2011-12-16,56,59.78
2011-12-23,51,61.98
2011-12-30,50,62.03
2012-01-06,55,59.10
2012-01-13,58,59.18
2012-01-20,62,58.76
2012-01-27,64,58.89
2012-02-03,58,58.82
2012-02-10,61,59.13
2012-02-17,59,57.87
2012-02-24,64,58.84
2012-03-02,60,58.31
2012-03-09,61,58.39
2012-03-16,58,57.62
2012-03-23,56,57.13
2012-03-30,56,58.42
2012-04-06,55,
2012-04-13,55,57.75
2012-04-20,58,58.61
2012-04-27,58,59.31
2012-05-04,59,59.38
2012-05-11,55,59.81
2012-05-18,55,58.67
2012-05-25,54,59.61
2012-06-01,55,60.29
2012-06-08,59,62.24
2012-06-15,57,63.10
2012-06-22,59,61.50
2012-06-29,56,62.19
2012-07-06,55,62.14
2012-07-13,54,63.42
2012-07-20,54,63.77
2012-07-27,57,64.90
2012-08-03,54,64.66
2012-08-10,57,63.87
2012-08-17,63,61.68
2012-08-24,58,61.42
2012-08-31,57,60.62
2012-09-07,56,60.63
2012-09-14,57,59.81
2012-09-21,57,59.10
2012-09-28,62,59.89
2012-10-05,61,60.22
2012-10-12,53,59.83
2012-10-19,56,60.47
2012-10-26,58,59.97
2012-11-02,67,59.20
2012-11-09,59,55.74
2012-11-16,61,54.98
2012-11-23,57,54.10
2012-11-30,60,55.79
2012-12-07,62,56.03
2012-12-14,59,56.12
2012-12-21,56,56.05
2012-12-28,54,54.93
2013-01-04,60,56.90
2013-01-11,61,55.91
2013-01-18,59,55.78
2013-01-25,61,56.51
2013-02-01,68,57.05
2013-02-08,63,57.15
2013-02-15,63,56.58
2013-02-22,57,58.48
2013-03-01,59,59.02
2013-03-08,59,58.95
2013-03-15,61,59.17
2013-03-22,57,59.09
2013-03-29,56,
2013-04-05,56,61.31
2013-04-12,56,61.91
2013-04-19,53,62.48
2013-04-26,56,62.84
2013-05-03,56,63.66
2013-05-10,54,61.57
2013-05-17,51,60.79
2013-05-24,54,58.66
2013-05-31,53,57.07
2013-06-07,58,57.43
2013-06-14,59,57.82
2013-06-21,58,56.39
2013-06-28,55,58.31
2013-07-05,51,57.16
2013-07-12,54,59.20
2013-07-19,55,60.48
2013-07-26,55,59.93
2013-08-02,53,60.37
2013-08-09,57,60.30
2013-08-16,55,56.64
2013-08-23,55,56.59
2013-08-30,58,56.23
2013-09-06,55,55.59
2013-09-13,55,54.88
2013-09-20,51,55.97
2013-09-27,54,55.15
2013-10-04,52,54.51
2013-10-11,52,56.26
2013-10-18,60,56.86
2013-10-25,51,58.59
2013-11-01,52,58.41
2013-11-08,56,57.27
2013-11-15,58,58.07
2013-11-22,52,55.92
2013-11-29,47,55.21
2013-12-06,51,55.85
2013-12-13,49,54.33
2013-12-20,51,54.77
2013-12-27,48,55.05
2014-01-03,50,53.45
2014-01-10,57,54.33
2014-01-17,53,53.96
2014-01-24,52,53.65
2014-01-31,54,54.41
2014-02-07,55,54.02
2014-02-14,56,55.16
2014-02-21,54,55.29
2014-02-28,52,56.05
2014-03-07,51,55.44
2014-03-14,51,54.66
2014-03-21,51,52.46
2014-03-28,51,53.17
2014-04-04,54,54.36
2014-04-11,59,55.60
2014-04-18,61,
2014-04-25,56,57.74
2014-05-02,56,
