Date,buy GPS,Price
2012-04-13,18,26.56
2012-04-20,17,27.85
2012-04-27,20,28.53
2012-05-04,19,28.20
2012-05-11,19,28.00
2012-05-18,19,25.71
2012-05-25,21,27.16
2012-06-01,18,25.26
2012-06-08,22,26.24
2012-06-15,21,26.73
2012-06-22,22,27.36
2012-06-29,20,27.36
2012-07-06,19,27.88
2012-07-13,23,27.90
2012-07-20,23,29.20
2012-07-27,23,29.91
2012-08-03,20,33.46
2012-08-10,21,34.21
2012-08-17,18,35.99
2012-08-24,23,35.12
2012-08-31,21,35.82
2012-09-07,17,35.93
2012-09-14,21,35.20
2012-09-21,17,36.19
2012-09-28,19,35.78
2012-10-05,17,37.10
2012-10-12,15,36.10
2012-10-19,16,36.37
2012-10-26,17,35.41
2012-11-02,15,35.11
2012-11-09,15,33.62
2012-11-16,18,33.59
2012-11-23,30,35.50
2012-11-30,25,34.46
2012-12-07,22,31.81
2012-12-14,23,31.45
2012-12-21,26,31.37
2012-12-28,23,30.43
2013-01-04,17,32.10
2013-01-11,15,31.71
2013-01-18,15,32.96
2013-01-25,14,33.54
2013-02-01,14,32.97
2013-02-08,13,32.23
2013-02-15,14,32.88
2013-02-22,13,31.96
2013-03-01,14,33.87
2013-03-08,15,36.23
2013-03-15,16,36.39
2013-03-22,16,35.66
2013-03-29,16,
2013-04-05,15,36.65
2013-04-12,18,38.18
2013-04-19,16,37.00
2013-04-26,12,37.49
2013-05-03,17,38.81
2013-05-10,16,40.99
2013-05-17,17,40.96
2013-05-24,18,40.64
2013-05-31,16,40.55
2013-06-07,18,42.09
2013-06-14,17,41.48
2013-06-21,17,41.32
2013-06-28,17,41.73
2013-07-05,16,43.30
2013-07-12,17,45.10
2013-07-19,18,45.03
2013-07-26,17,45.48
2013-08-02,19,46.48
2013-08-09,20,44.10
2013-08-16,18,43.12
2013-08-23,20,41.97
2013-08-30,17,40.44
2013-09-06,18,40.39
2013-09-13,16,41.64
2013-09-20,15,41.55
2013-09-27,16,40.67
2013-10-04,14,40.51
2013-10-11,14,36.83
2013-10-18,14,37.22
2013-10-25,14,36.66
2013-11-01,15,36.78
2013-11-08,14,41.43
2013-11-15,17,42.15
2013-11-22,16,41.31
2013-11-29,23,40.97
2013-12-06,21,39.46
2013-12-13,17,38.49
2013-12-20,21,38.57
2013-12-27,18,38.62
2014-01-03,14,39.52
2014-01-10,13,39.84
2014-01-17,12,37.30
2014-01-24,15,37.21
2014-01-31,14,38.08
2014-02-07,11,42.00
2014-02-14,14,42.34
2014-02-21,14,42.77
2014-02-28,15,43.75
2014-03-07,13,42.38
2014-03-14,15,42.08
2014-03-21,13,41.69
2014-03-28,14,40.17
2014-04-04,13,41.37
2014-04-11,14,38.40
2014-04-18,15,
2014-04-25,16,38.78
2014-05-02,17,
