Date,KIM,Price
2012-07-13,38,19.28
2012-07-20,37,19.05
2012-07-27,37,19.28
2012-08-03,38,19.94
2012-08-10,40,19.56
2012-08-17,39,20.31
2012-08-24,40,20.32
2012-08-31,38,20.32
2012-09-07,36,20.48
2012-09-14,35,21.03
2012-09-21,35,20.63
2012-09-28,35,20.27
2012-10-05,33,20.25
2012-10-12,33,20.27
2012-10-19,34,20.58
2012-10-26,33,19.63
2012-11-02,38,19.59
2012-11-09,34,18.94
2012-11-16,32,18.56
2012-11-23,32,19.17
2012-11-30,33,19.26
2012-12-07,34,19.60
2012-12-14,34,19.29
2012-12-21,34,19.45
2012-12-28,37,19.05
2013-01-04,76,19.80
2013-01-11,44,19.80
2013-01-18,39,19.87
2013-01-25,42,20.70
2013-02-01,38,21.05
2013-02-08,38,21.55
2013-02-15,37,21.71
2013-02-22,40,21.71
2013-03-01,43,21.80
2013-03-08,40,22.07
2013-03-15,44,22.07
2013-03-22,40,22.31
2013-03-29,46,
2013-04-05,52,22.60
2013-04-12,56,23.24
2013-04-19,46,22.89
2013-04-26,41,23.10
2013-05-03,39,24.56
2013-05-10,47,24.97
2013-05-17,40,24.22
2013-05-24,38,23.15
2013-05-31,39,22.15
2013-06-07,44,22.13
2013-06-14,47,22.01
2013-06-21,100,20.84
2013-06-28,54,21.43
2013-07-05,44,21.38
2013-07-12,42,22.34
2013-07-19,38,22.97
2013-07-26,37,22.71
2013-08-02,37,22.50
2013-08-09,36,22.13
2013-08-16,38,20.50
2013-08-23,42,20.57
2013-08-30,38,20.03
2013-09-06,36,20.10
2013-09-13,33,20.25
2013-09-20,31,20.63
2013-09-27,33,20.37
2013-10-04,34,19.58
2013-10-11,33,20.39
2013-10-18,42,20.86
2013-10-25,48,21.61
2013-11-01,40,21.56
2013-11-08,35,21.00
2013-11-15,35,21.18
2013-11-22,41,20.91
2013-11-29,42,20.62
2013-12-06,38,20.98
2013-12-13,40,20.02
2013-12-20,40,20.21
2013-12-27,38,20.13
2014-01-03,42,19.94
2014-01-10,41,20.56
2014-01-17,37,20.76
2014-01-24,38,20.69
2014-01-31,37,20.91
2014-02-07,33,20.93
2014-02-14,37,21.68
2014-02-21,43,21.79
2014-02-28,39,22.26
2014-03-07,48,22.05
2014-03-14,37,21.88
2014-03-21,37,21.85
2014-03-28,40,21.84
2014-04-04,41,21.88
2014-04-11,39,21.75
2014-04-18,39,
2014-04-25,37,22.54
2014-05-02,34,
