Date,AON,Price
2006-10-20,54,35.21
2006-10-27,55,34.86
2006-11-03,53,33.95
2006-11-10,56,34.80
2006-11-17,51,35.31
2006-11-24,56,35.74
2006-12-01,53,35.64
2006-12-08,54,36.50
2006-12-15,52,36.21
2006-12-22,55,35.57
2006-12-29,48,35.34
2007-01-05,55,35.58
2007-01-12,55,35.64
2007-01-19,54,35.58
2007-01-26,58,35.73
2007-02-02,59,36.45
2007-02-09,57,37.73
2007-02-16,55,39.01
2007-02-23,57,38.70
2007-03-02,55,37.56
2007-03-09,51,38.09
2007-03-16,51,37.94
2007-03-23,53,39.04
2007-03-30,53,37.96
2007-04-06,44,
2007-04-13,46,38.49
2007-04-20,51,39.75
2007-04-27,50,39.26
2007-05-04,49,41.76
2007-05-11,51,41.49
2007-05-18,49,43.65
2007-05-25,52,42.49
2007-06-01,50,42.93
2007-06-08,46,41.64
2007-06-15,51,42.44
2007-06-22,52,41.83
2007-06-29,55,42.61
2007-07-06,54,42.68
2007-07-13,57,41.59
2007-07-20,49,40.45
2007-07-27,52,40.26
2007-08-03,52,41.10
2007-08-10,50,41.82
2007-08-17,48,43.37
2007-08-24,46,43.50
2007-08-31,48,43.32
2007-09-07,47,42.58
2007-09-14,51,43.43
2007-09-21,55,43.85
2007-09-28,51,44.81
2007-10-05,47,45.97
2007-10-12,50,45.95
2007-10-19,53,43.35
2007-10-26,53,45.80
2007-11-02,57,47.45
2007-11-09,58,45.71
2007-11-16,57,47.56
2007-11-23,73,48.15
2007-11-30,66,49.97
2007-12-07,57,49.59
2007-12-14,57,48.94
2007-12-21,54,49.11
2007-12-28,46,48.01
2008-01-04,50,45.47
2008-01-11,58,45.17
2008-01-18,55,43.42
2008-01-25,54,42.63
2008-02-01,56,44.83
2008-02-08,52,41.90
2008-02-15,52,42.49
2008-02-22,48,43.11
2008-02-29,50,41.61
2008-03-07,51,40.24
2008-03-14,49,39.94
2008-03-21,51,
2008-03-28,50,39.59
2008-04-04,49,42.71
2008-04-11,45,43.83
2008-04-18,49,46.40
2008-04-25,50,46.64
2008-05-02,43,46.98
2008-05-09,44,46.30
2008-05-16,45,47.16
2008-05-23,45,46.43
2008-05-30,44,47.19
2008-06-06,44,46.59
2008-06-13,43,47.83
2008-06-20,45,47.07
2008-06-27,47,46.43
2008-07-04,45,
2008-07-11,45,45.80
2008-07-18,45,45.87
2008-07-25,48,44.69
2008-08-01,43,44.83
2008-08-08,43,47.58
2008-08-15,41,47.40
2008-08-22,46,47.92
2008-08-29,47,47.49
2008-09-05,44,46.85
2008-09-12,45,46.47
2008-09-19,48,46.31
2008-09-26,47,46.54
2008-10-03,46,44.06
2008-10-10,55,39.98
2008-10-17,47,36.91
2008-10-24,51,34.85
2008-10-31,52,42.30
2008-11-07,47,40.25
2008-11-14,48,42.16
2008-11-21,45,42.18
2008-11-28,46,45.30
2008-12-05,46,43.90
2008-12-12,45,40.94
2008-12-19,48,43.38
2008-12-26,37,44.61
2009-01-02,38,45.12
2009-01-09,45,42.92
2009-01-16,46,41.59
2009-01-23,49,39.70
2009-01-30,51,37.05
2009-02-06,48,40.62
2009-02-13,46,40.09
2009-02-20,45,39.34
2009-02-27,44,38.24
2009-03-06,45,39.78
2009-03-13,44,38.93
2009-03-20,44,39.04
2009-03-27,44,40.00
2009-04-03,44,40.00
2009-04-10,38,
2009-04-17,41,41.35
2009-04-24,41,40.64
2009-05-01,41,36.38
2009-05-08,43,37.00
2009-05-15,43,36.62
2009-05-22,42,35.64
2009-05-29,39,36.00
2009-06-05,100,36.33
2009-06-12,45,36.99
2009-06-19,45,37.63
2009-06-26,45,37.00
2009-07-03,45,
2009-07-10,43,36.68
2009-07-17,44,37.72
2009-07-24,44,36.92
2009-07-31,42,39.45
2009-08-07,42,40.80
2009-08-14,44,41.20
2009-08-21,42,41.67
2009-08-28,43,42.06
2009-09-04,44,41.89
2009-09-11,45,41.46
2009-09-18,46,41.72
2009-09-25,50,40.34
2009-10-02,46,40.35
2009-10-09,48,41.11
2009-10-16,44,41.46
2009-10-23,44,40.50
2009-10-30,41,38.51
2009-11-06,46,39.40
2009-11-13,43,40.21
2009-11-20,47,39.03
2009-11-27,45,38.39
2009-12-04,43,38.60
2009-12-11,43,37.73
2009-12-18,43,37.77
2009-12-25,37,
2010-01-01,37,
2010-01-08,44,37.89
2010-01-15,45,37.56
2010-01-22,48,38.53
2010-01-29,47,38.90
2010-02-05,47,39.71
2010-02-12,45,39.81
2010-02-19,45,40.57
2010-02-26,42,40.94
2010-03-05,44,41.46
2010-03-12,43,41.54
2010-03-19,42,42.65
2010-03-26,42,42.58
2010-04-02,42,
2010-04-09,40,43.14
2010-04-16,43,43.08
2010-04-23,43,44.08
2010-04-30,44,42.46
2010-05-07,46,41.13
2010-05-14,42,41.61
2010-05-21,45,39.64
2010-05-28,41,39.47
2010-06-04,48,38.42
2010-06-11,44,38.59
2010-06-18,42,39.74
2010-06-25,42,38.72
2010-07-02,45,37.11
2010-07-09,41,38.34
2010-07-16,93,36.24
2010-07-23,61,36.62
2010-07-30,58,37.67
2010-08-06,50,38.20
2010-08-13,58,36.91
2010-08-20,51,36.91
2010-08-27,50,37.17
2010-09-03,44,38.37
2010-09-10,46,37.77
2010-09-17,47,38.12
2010-09-24,49,39.45
2010-10-01,51,39.28
2010-10-08,51,39.41
2010-10-15,47,39.46
2010-10-22,50,40.02
2010-10-29,48,39.75
2010-11-05,46,41.78
2010-11-12,47,41.07
2010-11-19,46,41.01
2010-11-26,45,40.68
2010-12-03,43,42.78
2010-12-10,44,43.68
2010-12-17,47,45.10
2010-12-24,41,
2010-12-31,40,46.01
2011-01-07,47,44.34
2011-01-14,47,44.70
2011-01-21,47,45.32
2011-01-28,48,45.32
2011-02-04,47,48.16
2011-02-11,46,49.89
2011-02-18,46,52.93
2011-02-25,45,52.49
2011-03-04,45,51.46
2011-03-11,46,51.25
2011-03-18,43,51.97
2011-03-25,42,52.27
2011-04-01,43,53.76
2011-04-08,47,53.27
2011-04-15,45,52.47
2011-04-22,41,
2011-04-29,44,52.17
2011-05-06,47,52.52
2011-05-13,47,52.84
2011-05-20,45,52.23
2011-05-27,53,51.37
2011-06-03,42,51.51
2011-06-10,43,50.20
2011-06-17,44,49.39
2011-06-24,42,49.12
2011-07-01,44,51.71
2011-07-08,46,51.67
2011-07-15,45,49.86
2011-07-22,44,50.37
2011-07-29,45,48.12
2011-08-05,42,44.89
2011-08-12,41,45.45
2011-08-19,42,44.28
2011-08-26,40,46.04
2011-09-02,40,44.83
2011-09-09,45,43.59
2011-09-16,46,44.02
2011-09-23,46,40.00
2011-09-30,45,41.98
2011-10-07,47,43.30
2011-10-14,43,45.12
2011-10-21,44,49.33
2011-10-28,44,47.99
2011-11-04,39,47.41
2011-11-11,41,48.09
2011-11-18,38,45.78
2011-11-25,38,44.23
2011-12-02,40,46.01
2011-12-09,38,46.29
2011-12-16,39,44.86
2011-12-23,36,46.86
2011-12-30,32,46.80
2012-01-06,38,46.14
2012-01-13,43,46.28
2012-01-20,40,47.49
2012-01-27,39,48.14
2012-02-03,39,48.06
2012-02-10,40,48.56
2012-02-17,43,47.62
2012-02-24,39,47.53
2012-03-02,37,47.28
2012-03-09,39,48.07
2012-03-16,36,48.97
2012-03-23,35,48.66
2012-03-30,37,49.06
2012-04-06,36,
2012-04-13,36,48.46
2012-04-20,36,49.80
2012-04-27,35,51.62
2012-05-04,34,48.39
2012-05-11,36,48.15
2012-05-18,36,45.70
2012-05-25,36,47.39
2012-06-01,35,45.11
2012-06-08,33,46.78
2012-06-15,33,47.00
2012-06-22,34,46.18
2012-06-29,35,46.78
2012-07-06,35,47.28
2012-07-13,39,47.63
2012-07-20,39,46.98
2012-07-27,36,49.32
2012-08-03,39,50.49
2012-08-10,37,51.83
2012-08-17,37,53.29
2012-08-24,38,52.37
2012-08-31,40,51.96
2012-09-07,42,51.96
2012-09-14,40,53.10
2012-09-21,44,52.68
2012-09-28,44,52.29
2012-10-05,42,54.13
2012-10-12,41,53.19
2012-10-19,40,52.55
2012-10-26,39,53.84
2012-11-02,36,54.88
2012-11-09,37,55.63
2012-11-16,37,56.19
2012-11-23,35,57.74
2012-11-30,37,56.80
2012-12-07,37,56.60
2012-12-14,34,56.20
2012-12-21,33,56.63
2012-12-28,29,55.50
2013-01-04,35,57.13
2013-01-11,39,57.75
2013-01-18,38,57.11
2013-01-25,40,57.62
2013-02-01,39,56.13
2013-02-08,36,56.53
2013-02-15,40,57.00
2013-02-22,36,60.79
2013-03-01,37,60.89
2013-03-08,38,60.21
2013-03-15,37,59.90
2013-03-22,34,60.27
2013-03-29,35,
2013-04-05,37,60.27
2013-04-12,41,62.62
2013-04-19,36,60.15
2013-04-26,36,59.00
2013-05-03,35,63.31
2013-05-10,36,64.50
2013-05-17,37,66.29
2013-05-24,36,65.73
2013-05-31,36,63.67
2013-06-07,36,65.55
2013-06-14,36,64.89
2013-06-21,38,63.26
2013-06-28,36,64.35
2013-07-05,37,65.66
2013-07-12,37,67.02
2013-07-19,39,67.48
2013-07-26,39,67.53
2013-08-02,36,69.08
2013-08-09,34,69.08
2013-08-16,36,68.39
2013-08-23,36,68.50
2013-08-30,36,66.38
2013-09-06,37,66.49
2013-09-13,39,68.52
2013-09-20,40,75.52
2013-09-27,41,75.07
2013-10-04,39,72.83
2013-10-11,38,73.10
2013-10-18,38,75.39
2013-10-25,39,77.54
2013-11-01,37,78.77
2013-11-08,40,80.60
2013-11-15,41,81.58
2013-11-22,44,82.55
2013-11-29,37,81.64
2013-12-06,38,82.75
2013-12-13,37,81.61
2013-12-20,38,82.94
2013-12-27,29,83.41
2014-01-03,32,82.60
2014-01-10,42,82.52
2014-01-17,40,84.15
2014-01-24,42,78.41
2014-01-31,43,80.46
2014-02-07,41,81.02
2014-02-14,39,85.23
2014-02-21,40,86.22
2014-02-28,42,85.60
2014-03-07,40,86.95
2014-03-14,38,83.42
2014-03-21,41,85.86
2014-03-28,41,82.62
2014-04-04,40,82.62
2014-04-11,39,79.43
2014-04-18,38,
2014-04-25,38,84.95
2014-05-02,39,
